Participant,Country,Gender,Year_Born,Age in 2015,Ethnicity,Marital_Status,Employment_Fulltime,Occupation,Fivefears_1,Fivefears_2,Fivefears_3,Fivefears_4,Fivefears_5,worry_death,incomplete_bucket_list,deathly_ill,concern_for_others,painful_death,loved_ones,die_alone,cognitive_function,expenses_burden,as_you_wish,buried_alive,left_behind,remembered,permenant,after_death
150,Brazil,M,19,35,BRANCO,Married,Full-time,SUPERVISOR,Health,Money,The future,Children,Work,8,7,7,8,7,8,8,7,6,8,6,8,5,8,8
151,Brazil,F,19,35,parda,"Single, Committed",Part-time,autonomous,Death,Snakes.,Hunger,Violence,Illness,7,8,8,7,7,8,8,7,0,6,8,8,7,8,6
152,Brazil,F,47,63,Branca,-,Part-time,Assistant in Oral Health,Health,Money,The environment,Lack of water,Safety,0,0,8,0,6,0,0,8,8,0,0,0,0,0,0
153,Brazil,F,25,41,Branca,Married,Full-time,University Professor,Unemployment,Illness,Loneliness,Injustice,Invalidity,0,0,8,0,8,8,8,8,8,8,8,0,8,0,0
154,Brazil,M,41,57,branco,-,Part-time,agropecuaria,Health,Finance,Safety,Family,Climate,0,6,2,0,1,0,1,2,1,2,1,5,1,4,3
155,Brazil,M,29,45,branco,Single,Full-time,micro-entrepreneur,Falling ill,Ending up alone,Being misunderstood,Losing loved ones,Being undervalued,0,8,8,6,0,8,8,4,0,8,8,0,0,0,0
156,Brazil,F,5,21,Parda,Committed,Estudande,-,Fear of disappointing others.,Fear of failure.,Fear of being forgotten.,Fear of causing fights,Speaking in public,7,5,7,7,7,5,3,6,7,7,7,7,7,5,7
157,Brazil,M,20,36,Branco,Married,Full-time,Government employee,Death,Money,Loneliness,Acceptance,The unknown,6,8,7,4,6,6,6,3,5,8,8,7,7,5,6
158,Brazil,M,34,50,Negro,Committed,Full-time,Civil Servant,Losing my job,Becoming gravely ill,Loss of family,The amputation of a limb,Going blind,0,8,8,7,8,6,7,8,6,8,6,8,0,0,0
159,Brazil,M,38,54,branco,Married,beneficiario do INSS,-,Death,Invalidity,Heights,Serious illnesses,Not being able to support (myself/others),8,8,8,8,7,8,8,8,7,8,8,8,8,8,3
160,Brazil,M,16,32,negro,"Committed, Married",Full-time,distributor driver,Not winning,Not being successful,Poor health,Dissatisfaction,Not being able to take care of my family,4,8,8,8,8,7,3,6,5,4,8,8,5,8,5
161,Brazil,M,45,61,italiana,Married,Full-time,company director,War,Armed assaults,The Brazilian government,Climate,Neglect of humanity,2,8,6,7,3,1,2,3,1,0,0,8,0,1,0
162,Brazil,M,39,55,Branca,Married,Part-time,technical electronic,Health,Financial matters,Missing my wife,The death of my parents,The death of my siblings,5,0,6,5,6,6,0,6,0,0,6,6,0,0,0
163,Brazil,M,12,28,pardo,Single,Full-time,official,Fear of dying too young,Fear of the future,Fear of ending up totally disabled,Fear of dieing alone.,Fear of death.,8,8,4,4,8,8,8,7,8,8,5,8,8,8,8
164,Brazil,M,9,25,Branco,Single,Full-time,IT,Death,Public,Nervousness,Hunger,Pain,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
165,Brazil,M,8,24,Pardo,Married,"Unemployed, looking",-,Loss of family,Loss of a limb,Going without food,Death,Spider,7,8,8,8,8,8,6,6,7,4,8,8,4,8,8
166,Brazil,M,18,34,Caucasiana,Married,Full-time,CIO,Lack of sex,Lack of money,Health problems,Family problems,Dissatisfactio with my work,2,5,6,6,8,4,2,7,5,0,2,2,1,0,1
167,Brazil,M,28,44,Mestiço,Married,Part-time,Operations manager,Unemployment,Violence,Illness,War,Catastrophes,8,8,8,8,8,0,0,0,6,0,8,8,7,0,0
168,Brazil,M,51,67,BRANCO,Married,Part-time,QUALIFIED WORKER,Prolonged illness,Lack of money,Loneliness,Being unappreciated,Death,8,7,8,8,8,7,8,2,7,2,8,7,7,6,8
169,Brazil,M,34,50,BRANCA,Married,Part-time,ASSISTANT ADMINISTIVO,Safety,Lack of money,War,Lack of water,Lack of money,2,0,0,3,0,0,0,2,8,0,0,6,0,0,0
170,Brazil,F,20,36,Branco,Married,Autonomo,"Speaker, training",The security/safety of my family,Automobile accidents,Domestic accidents,Financial situation,Assessment of people,4,2,7,8,2,8,8,8,6,0,0,2,8,0,0
171,Brazil,M,30,46,branca,Married,"unemployed, looking",-,Heights,Unemployment,Money,Health,Age,1,5,7,6,6,6,8,7,6,3,8,6,5,0,0
172,Brazil,M,18,34,parda,Married,Full-time,Government company,Heights,The dark(ness),Closed spaces,Scorpions,Planes,0,8,0,0,0,7,0,0,0,0,7,7,0,0,0
173,Brazil,F,13,29,Parda,Committed,estudante,student,Being far from my kids,Death,Not having a job,Finishing school,Heights,4,7,8,8,7,7,6,3,4,4,5,8,6,6,5
174,Brazil,M,18,34,hispânica,Married,Full-time,Board of Directors,Heights,Bats,Suffocating,Burning,Death,6,7,7,6,7,6,7,8,4,5,7,7,5,8,8
175,Brazil,M,24,40,branca,Married,Full-time,teacher,Heights,Commitments,Snakes.,Spiders,Death,8,8,8,8,8,8,7,8,8,7,8,8,7,7,8
176,Brazil,F,28,44,latina,Married,Full-time,beautifying automotive,Lack of money,Feeling useless,Old age,Car and motorcycle accidents,Fires,0,8,8,8,4,4,8,8,8,0,8,4,0,0,4
177,Brazil,F,22,38,latian,Married,Part-time,merchant,Falling ill,Getting old,Not having money,Unemployment,Ending up alone,5,7,8,6,7,6,6,8,5,5,8,8,7,4,2
178,Brazil,M,17,33,Branco/Caucasiano,Married,Full-time,Director of Technology,The death of those I love,Losing my job,The general situation in my country,Achieving a higher position at my company,Not being able to spend as much time with my children as I would like,8,8,8,8,4,8,6,8,8,4,7,8,4,8,7
179,Brazil,M,18,34,pardo,Married,Full-time,micro-entrepreneur,Employment,Loneliness,Illness,An impasse,Shame,6,8,8,4,3,8,8,6,5,5,1,7,6,2,3
180,Brazil,M,27,43,AFRO AMERICANO,Married,Full-time,Archival,Violence,Hunger,Unemployment,Illness,War,2,7,8,0,8,8,3,3,2,5,0,8,5,1,2
181,Brazil,M,26,42,Branca,Married,Full-time,Sales Manager,Death,The security/safety of my family,Losing money,Injustice,Health,6,7,7,4,7,6,6,6,6,5,6,8,4,6,4
182,Brazil,M,13,29,alema/indigena,Single,Full-time,math teacher,Failure,Loneliness,Being ambushed,Snakes.,Death,6,8,5,8,6,8,7,8,5,5,5,8,6,7,5
183,Brazil,M,14,30,afro-descendente,Single,estudante,I do well in tests and study,Bees,The death of loved ones,Being useless,Horror films,My uncle Valério,2,2,7,7,4,4,0,5,0,1,8,7,5,3,8
184,Brazil,M,30,46,latina,Single,Full-time,"autonomous, independent professional",Falshoods,Loneliness,Failure,The future,Illness,4,7,6,1,4,2,2,8,0,0,3,1,1,0,2
185,Brazil,M,25,41,branco,Married,Full-time,administrator,Death,Not having money,Suffocating,Being kidnapped,Being abducted,7,8,8,7,8,7,8,7,6,3,6,7,7,7,7
186,Brazil,F,20,36,branca,Single,Full-time,Assistant,Being burnt alive,Fear of roaches.,Losing a limb,Not having my mobility,A car accident,5,3,8,4,5,3,3,3,1,0,8,4,2,1,5
187,Brazil,F,10,26,negro,Committed,Full-time,administrative assistant,Not having somewhere to live,Going without food,Loss of a loved one,Getting ill,Fear of the dark,4,6,3,8,4,4,6,6,6,5,5,4,3,3,5
188,Brazil,F,8,24,Parda,Committed,Full-time,telemarketing,Death,Cockroaches,Loneliness,Not having money.,Pain,5,8,6,5,8,6,8,3,0,4,8,7,6,8,3
189,Brazil,M,23,39,branca,Single,Full-time,banking,Death,Illness,Old age,Falling.,Loneliness,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
190,Brazil,M,13,29,Branco,Committed,Full-time,Director of Services,Lack of money,Lack of friends,Not having my own house soon,Failure of my company,Failing at my plans,1,8,6,6,1,6,3,8,3,7,1,6,8,1,4
191,Brazil,F,6,22,latino,Single,"Unemployed, looking",trainee,Losing my faith,Being run over,Death by asphyxiation,Being burnt alive,Being in a coma,1,5,8,0,1,1,0,7,1,1,0,2,1,1,1
192,Brazil,M,26,42,branca,Married,Full-time,systems analyst,Falling ill,Burning,Going without food,Suffocating,Going blind,6,8,8,8,6,8,7,6,6,7,8,6,4,7,5
193,Brazil,M,10,26,Branco,Single,Full-time,Administrative Assistant,Death,Loneliness,Losing my mother,Not achieving my goals,Not succeeding in life,8,8,8,7,7,8,7,8,7,2,2,7,7,8,8
194,Brazil,F,27,43,branca,Married,"Unemployed, looking",Unemployed,Assault,Accidents,Unemployment,Illness,Death,3,8,8,7,3,8,5,7,6,8,4,8,6,6,0
195,Brazil,F,29,45,NEGRA,Married,AUTONOMA,PHYSICAL THERAPIST,Closed spaces,Catastrophes,Wars,Illness,Attack,0,8,8,8,8,3,8,8,8,0,8,8,5,0,1
196,Brazil,F,12,28,pardo,Married,Full-time,consultant,Losing my job,Being alone,Falling ill,Freaking out,Death,7,7,8,8,8,8,8,8,8,8,8,8,8,7,8
197,Brazil,M,14,30,Branco/ Caucasiano,Single,Full-time,IT Director,Not achieving my professional goals,Financial instability,Loss of family members,Physical violence,Illness,6,6,6,7,6,7,7,6,7,6,5,7,5,6,6
198,Brazil,M,32,48,BRANCA,Married,Full-time,CIVIL SERVANT,Violence,Debt,Lack of money,Illness,Death,7,8,7,7,7,7,7,7,7,7,6,7,7,7,7
199,Brazil,M,5,21,branco,Single,Part-time,programmer,Death,Loneliness,Unemployment,Dangerous animals,Crime,8,8,8,4,8,3,6,8,5,4,8,4,0,8,8
200,Brazil,M,6,22,Branca,Single,Part-time,Ecommerce,Injections,Tests,Relationships,Needles.,Venomous animals,6,5,7,4,6,5,3,2,3,2,2,8,1,7,6
