name,id,align,eye,hair,gender,gsm,alive,appearances,first_appear,publisher
Sublime (Earth-616),Secret,Neutral,Blue Eyes,Black Hair,NA,NA,Living Characters,24,Jun-91,marvel
Rosalie Carbone (Earth-616),NA,Bad,NA,NA,Female,NA,Deceased Characters,24,Apr-92,marvel
Harlan Kleinstock (Earth-616),Secret,Bad,NA,Brown Hair,Male,NA,Living Characters,24,Mar-93,marvel
Jillian Woods (Earth-616),Secret,Good,Green Eyes,Black Hair,Female,NA,Living Characters,24,Apr-93,marvel
Sven Kleinstock (Earth-616),Secret,Bad,NA,Brown Hair,Male,NA,Living Characters,24,Mar-93,marvel
Clarice Ferguson (Earth-616),Secret,Good,Green Eyes,Magenta Hair,Female,NA,Living Characters,24,Oct-94,marvel
Andrea Roarke (Earth-616),Secret,Bad,Variable Eyes,Blond Hair,Female,NA,Living Characters,24,Jul-96,marvel
Cleavon Twain (Earth-616),Secret,Bad,NA,Brown Hair,Male,NA,Deceased Characters,24,Apr-96,marvel
Giacomo Fortunato (Earth-616),Public,Good,Brown Eyes,Black Hair,Male,NA,Living Characters,24,Jul-96,marvel
Pierre Fresson (Earth-616),Secret,Bad,Blue Eyes,Blond Hair,Male,NA,Living Characters,24,Jun-97,marvel
Conrad Josten (Earth-616),Secret,NA,Brown Eyes,Brown Hair,Male,NA,Living Characters,24,Jul-98,marvel
Adrienne Frost (Earth-616),Public,Bad,Green Eyes,Blond Hair,Female,NA,Deceased Characters,24,Mar-99,marvel
Trey Rollins (Earth-616),Secret,Good,Brown Eyes,Brown Hair,Male,NA,Deceased Characters,24,Jun-99,marvel
Mister X (Earth-616),Secret,Bad,Blue Eyes,Blond Hair,Male,NA,Living Characters,24,Feb-01,marvel
Spike (Freeman) (Earth-616),Secret,NA,Brown Eyes,Brown Hair,Male,NA,Deceased Characters,24,Aug-01,marvel
Kevin Cole (Earth-616),Secret,Good,Brown Eyes,Black Hair,Male,NA,Living Characters,24,Dec-02,marvel
Janet Stein (Earth-616),Secret,Bad,Brown Eyes,Brown Hair,Female,NA,Deceased Characters,24,Jul-03,marvel
Leslie Dean (Earth-616),Secret,Bad,Blue Eyes,Blond Hair,Female,NA,Deceased Characters,24,Jul-03,marvel
Kelsey Leigh (Earth-616),Secret,Good,Blue Eyes,Blond Hair,Female,NA,Living Characters,24,Mar-04,marvel
Overdrive (Earth-616),Secret,Neutral,Black Eyes,Black Hair,Male,NA,Living Characters,24,Jun-07,marvel
Carson Wyche (Earth-616),Public,Good,Hazel Eyes,Brown Hair,Male,NA,Living Characters,24,Jul-10,marvel
Cul Borson (Earth-616),Secret,Bad,White Eyes,White Hair,Male,NA,Living Characters,24,Jun-11,marvel
Kade Kilgore (Earth-616),Public,Bad,Black Eyes,Black Hair,Male,NA,Living Characters,24,Sep-11,marvel
H.E.L.E.N. (Earth-616),No Dual,Good,NA,NA,Other,NA,Living Characters,24,Jan-13,marvel
Hrimhari (Earth-616),Secret,Good,Silver Eyes,Grey Hair,Male,NA,Deceased Characters,24,NA,marvel
David Bond (Earth-616),Secret,Good,Brown Eyes,Black Hair,Male,NA,Living Characters,24,NA,marvel
Jack Casey (Earth-616),No Dual,Good,NA,Brown Hair,Male,Homosexual Characters,Deceased Characters,23,Dec-40,marvel
Dave Carson (Earth-616),Public,Good,NA,Red Hair,Male,NA,Living Characters,23,Mar-48,marvel
Whitney Hammond (Earth-616),No Dual,Good,NA,Brown Hair,Male,NA,Living Characters,23,Aug-48,marvel
Greg Knight (Earth-616),No Dual,Good,NA,Brown Hair,Male,NA,Living Characters,23,Aug-53,marvel
Janice Cord (Earth-616),No Dual,Good,Blue Eyes,Blond Hair,Female,NA,Deceased Characters,23,Jun-68,marvel
Lani Ubanu (Earth-616),Secret,Bad,White Eyes,Blond Hair,Female,NA,Living Characters,23,Dec-69,marvel
Richard Nixon (Earth-616),No Dual,NA,NA,NA,Male,NA,Deceased Characters,23,Sep-69,marvel
Roderick Krupp (Earth-616),Secret,Neutral,NA,Brown Hair,Male,NA,Deceased Characters,23,Sep-69,marvel
Garokk (Earth-616),NA,Neutral,NA,NA,Male,NA,Living Characters,23,Oct-70,marvel
Set (Earth-616),Public,Bad,Red Eyes,No Hair,Male,NA,Living Characters,23,Jul-71,marvel
Kondrati Topolov (Earth-616),Secret,Neutral,Blue Eyes,Bald,Male,NA,Deceased Characters,23,May-73,marvel
Robert Takiguchi (Earth-616),No Dual,Good,NA,Black Hair,Male,NA,Living Characters,23,Aug-77,marvel
Magnus (Sorcerer) (Earth-616),NA,NA,Brown Eyes,Brown Hair,Male,NA,Living Characters,23,May-78,marvel
Dansen Macabre (Earth-616),Secret,Bad,Blue Eyes,Silver Hair,Female,NA,Deceased Characters,23,May-80,marvel
Pharoid (Earth-616),NA,NA,NA,NA,Male,NA,Deceased Characters,23,Nov-80,marvel
Jason Strongbow (Earth-616),Secret,Good,Brown Eyes,Black Hair,Male,NA,Living Characters,23,Sep-81,marvel
Lancelot Steele (Earth-616),Public,Good,NA,NA,Male,NA,Living Characters,23,May-81,marvel
Roberta (Earth-616),Public,Good,Blue Eyes,Blond Hair,Female,NA,Living Characters,23,Feb-82,marvel
Alison Double (Earth-616),No Dual,Good,Blue Eyes,Blond Hair,Female,NA,Living Characters,23,Mar-83,marvel
Elton Healey (Earth-616),Secret,Bad,Green Eyes,Black Hair,Male,NA,Deceased Characters,23,Nov-83,marvel
Francis Xavier Delgado (Earth-616),Public,NA,NA,NA,Male,NA,Living Characters,23,Oct-83,marvel
Mark Hallett (Earth-616),Secret,Good,NA,Bald,Male,NA,Deceased Characters,23,May-83,marvel
Mister Johnston (Earth-616),NA,Bad,NA,NA,Male,NA,Deceased Characters,23,Jun-84,marvel
Ogun (Ninja) (Earth-616),Secret,Bad,Blue Eyes,Black Hair,Male,NA,Living Characters,23,Nov-84,marvel
Autumn Rolfson (Earth-616),Secret,Neutral,Blue Eyes,Brown Hair,Female,NA,Deceased Characters,23,Jan-87,marvel
Cormick Grimshaw (Earth-616),Public,Neutral,NA,Blond Hair,Male,NA,Living Characters,23,Oct-88,marvel
Rebecca Nales (Earth-616),Public,Good,NA,Black Hair,Female,NA,Living Characters,23,Apr-88,marvel
Skullbuster (Earth-616),Secret,Bad,Red Eyes,No Hair,Male,NA,Living Characters,23,May-88,marvel
Jane Thorne (Earth-616),Secret,Neutral,NA,NA,Female,NA,Living Characters,23,Nov-89,marvel
Lenny Ballinger (Earth-616),Public,Good,Black Eyes,Brown Hair,Male,NA,Living Characters,23,May-89,marvel
Tai (Well of All Things) (Earth-616),NA,Bad,NA,Black Hair,Female,NA,Living Characters,23,Dec-89,marvel
Tamara Kurtz (Earth-616),Secret,Neutral,NA,Auburn Hair,Female,NA,Living Characters,23,Sep-90,marvel
Carol Hines (Earth-616),Secret,Bad,Blue Eyes,Auburn Hair,Female,NA,Deceased Characters,23,Mar-91,marvel
Amelia Barnhardt (Earth-616),Secret,Good,NA,Black Hair,Female,NA,Living Characters,23,Nov-92,marvel
Clara Menninger (Earth-616),NA,Good,NA,Blond Hair,Female,NA,Living Characters,23,Jul-92,marvel
Louise Hastings (Earth-616),Secret,Good,Brown Eyes,Black Hair,Female,NA,Deceased Characters,23,Oct-92,marvel
Marilla (Earth-616),Secret,NA,NA,Red Hair,Female,NA,Deceased Characters,23,Jan-92,marvel
Candra (Earth-616),Secret,Neutral,Blue Eyes,Blond Hair,Female,NA,Deceased Characters,23,Dec-93,marvel
Skreet (Earth-616),NA,Bad,Pink Eyes,Black Hair,Female,NA,Living Characters,23,Jan-95,marvel
James Hudson (Clone) (Earth-616),Secret,Good,Brown Eyes,Black Hair,Male,NA,Deceased Characters,23,Aug-97,marvel
White Tiger (Evolved Tiger) (Earth-616),Secret,Good,Green Eyes,White Hair,Female,NA,Living Characters,23,Jul-97,marvel
Fever Pitch (Earth-616),Secret,Bad,NA,NA,Male,NA,Deceased Characters,23,Apr-99,marvel
Donald Callahan (Earth-616),Secret,Bad,White Eyes,No Hair,Male,NA,Living Characters,23,Apr-00,marvel
Centrally Located Organic Computer (Earth-616),NA,Good,NA,NA,Other,NA,Living Characters,23,Jan-01,marvel
George W. Bush (Earth-616),No Dual,Neutral,Blue Eyes,Grey Hair,Male,NA,Living Characters,23,Nov-01,marvel
Sophie Cuckoo (Earth-616),Secret,Good,Blue Eyes,Blond Hair,Female,NA,Deceased Characters,23,Nov-01,marvel
Shola Inkose (Earth-616),Secret,Good,Brown Eyes,Bald,Male,NA,Living Characters,23,Dec-02,marvel
Robert Minoru (Earth-616),Secret,Bad,Brown Eyes,Brown Hair,Male,NA,Deceased Characters,23,Jul-03,marvel
Tina Minoru (Earth-616),Secret,Bad,NA,NA,Female,NA,Deceased Characters,23,Jul-03,marvel
Venom (Symbiote) (Mania) (Earh-616),NA,Neutral,Variable Eyes,No Hair,Other,NA,Living Characters,23,Jun-03,marvel
Maximus Jensen (Earth-616),Secret,Bad,Grey Eyes,Grey Hair,Male,NA,Deceased Characters,23,Nov-04,marvel
Lambda-Zero (Earth-616),Secret,Neutral,Multiple Eyes,No Hair,Female,NA,Deceased Characters,23,Mar-05,marvel
Bride of Nine Spiders (Earth-616),Secret,Good,White Eyes,Black Hair,Female,NA,Deceased Characters,23,Oct-07,marvel
Delphyne Gorgon (Earth-616),No Dual,Neutral,Yellow Eyes,Green Hair,Female,NA,Living Characters,23,Nov-08,marvel
Timothy Cababa (Earth-616),Secret,Good,Hazel Eyes,Black Hair,Male,Homosexual Characters,Living Characters,23,Sep-10,marvel
Aiden (Earth-616),Secret,Good,Blue Eyes,Red Hair,Male,NA,Living Characters,23,Feb-13,marvel
Cullen Bloodstone (Earth-616),No Dual,Neutral,Green Eyes,Blond Hair,Male,Homosexual Characters,Living Characters,23,Feb-13,marvel
Rebecca Ryker (Earth-616),Public,Neutral,Brown Eyes,Black Hair,Female,NA,Living Characters,23,Feb-13,marvel
Lightning (Tex Morgan) (Earth-616),Public,Good,NA,Yellow Hair,Male,NA,Living Characters,22,Aug-48,marvel
Cory Rand (Earth-616),Public,Good,NA,Brown Hair,Male,NA,Deceased Characters,22,Aug-54,marvel
Giganto (Atlantean beast) (Earth-616),NA,NA,NA,NA,Male,NA,Living Characters,22,May-62,marvel
Wong-Chu (Earth-616),No Dual,Bad,Brown Eyes,Bald,Male,NA,Deceased Characters,22,Mar-63,marvel
Carlo Zota (Earth-616),No Dual,Bad,NA,Blond Hair,Male,NA,Living Characters,22,Sep-67,marvel
Lucifer (Lightbearer) (Earth-616),Public,Bad,Variable Eyes,Variable Hair,Male,NA,Living Characters,22,Feb-67,marvel
Zarek (Earth-616),Public,Bad,Blue Eyes,Bald,Male,NA,Living Characters,22,Dec-67,marvel
Jacques Larocque (Earth-616),Public,Good,NA,NA,Male,NA,Living Characters,22,Jan-68,marvel
Sam Yates (Earth-616),Public,NA,NA,NA,Male,NA,Living Characters,22,Jan-68,marvel
Typhon (Earth-616),Public,Bad,Black Eyes,Black Hair,Male,NA,Living Characters,22,Feb-68,marvel
George Smith (Earth-616),Public,Good,Blue Eyes,Black Hair,Male,NA,Living Characters,22,Nov-69,marvel
Lupo (Earth-616),Secret,Bad,Yellow Eyeballs,No Hair,Male,NA,Living Characters,22,Nov-69,marvel
Taku (Earth-616),NA,NA,NA,NA,Male,NA,Living Characters,22,Sep-69,marvel
Hebe (Earth-616),Secret,Good,Blue Eyes,Red Hair,Female,NA,Living Characters,22,Aug-70,marvel
Tongah (Earth-616),No Dual,Good,Brown Eyes,Black Hair,Male,NA,Living Characters,22,Dec-70,marvel
Zala Dane (Earth-616),Secret,Bad,Blue Eyes,Black Hair,Female,NA,Deceased Characters,22,Dec-70,marvel
Tu (Earth-616),Public,Good,NA,White Hair,Male,NA,Living Characters,22,Jun-71,marvel
Deacon Frost (Earth-616),Public,Bad,Red Eyes,White Hair,Male,NA,Deceased Characters,22,Oct-73,marvel
Kamo Tharnn (Earth-616),No Dual,Bad,Black Eyes,Grey Hair,Male,NA,Deceased Characters,22,May-75,marvel
Matriarch (UCT) (Earth-616),Secret,Bad,NA,Brown Hair,Female,NA,Living Characters,22,Feb-75,marvel
Desmond Charne (Earth-616),Public,Bad,Blue Eyes,NA,Male,NA,Living Characters,22,May-76,marvel
Model X3Z (Earth-616),Secret,NA,Black Eyes,White Hair,Male,NA,Deceased Characters,22,Mar-76,marvel
Buford Hollis (Earth-616),Secret,Good,Blue Eyes,Black Hair,Male,NA,Living Characters,22,Nov-77,marvel
Tamara Hashioka (Earth-616),No Dual,Neutral,Black Eyes,Black Hair,Female,NA,Living Characters,22,Aug-77,marvel
Willard Scott (Earth-616),Public,Bad,NA,NA,Male,NA,Living Characters,22,Apr-77,marvel
Sigyn (Earth-616),Secret,Good,Blue Eyes,Blond Hair,Female,NA,Living Characters,22,Sep-78,marvel
Alexei Vazhin (Earth-616),NA,NA,Brown Eyes,Black Hair,Male,NA,Living Characters,22,Oct-79,marvel
Magda Eisenhardt (Earth-616),No Dual,Good,Blue Eyes,Brown Hair,Female,NA,Deceased Characters,22,Aug-79,marvel
Mike Farrell (Earth-616),Secret,Bad,Blue Eyes,Brown Hair,Male,NA,Deceased Characters,22,Sep-79,marvel
Calypso Ezili (Earth-616),Public,Bad,Brown Eyes,Black Hair,Female,NA,Deceased Characters,22,Oct-80,marvel
Lois London (Earth-616),Public,Bad,Blue Eyes,Brown Hair,Female,NA,Living Characters,22,Nov-82,marvel
Lucinda Guthrie (Earth-616),Secret,Good,Blue Eyes,Grey Hair,Female,NA,Living Characters,22,Nov-84,marvel
Mister Varley (Earth-616),NA,Bad,NA,Blond Hair,Male,NA,Deceased Characters,22,Jun-84,marvel
Wallace Jackson (Earth-616),Public,Good,Blue Eyes,Red Hair,Male,NA,Living Characters,22,May-85,marvel
Kevin (son of Ruby) (Earth-616),Public,Good,NA,Black Hair,Male,NA,Living Characters,22,Jul-86,marvel
Kathleen Dare (Earth-616),NA,Bad,Blue Eyes,Red Hair,Female,NA,Deceased Characters,22,Aug-88,marvel
Pretty Boy (Earth-616),Secret,Bad,Green Eyes,Black Hair,Male,NA,Living Characters,22,May-88,marvel
Alysande Stuart (Earth-616),Public,Good,NA,Black Hair,Female,NA,Deceased Characters,22,Mar-89,marvel
Josef Petkus (Earth-616),Secret,NA,NA,NA,Male,NA,Deceased Characters,22,Apr-89,marvel
Perun (Earth-616),Secret,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,22,Apr-89,marvel
Roughouse (Earth-616),Secret,Bad,Blue Eyes,Brown Hair,Male,NA,Living Characters,22,Feb-89,marvel
Desmond Marrs (Earth-616),Public,Bad,Blue Eyes,Red Hair,Male,NA,Deceased Characters,22,Apr-90,marvel
Lotus Newmark (Earth-616),NA,Bad,Green Eyes,Black Hair,Female,NA,Living Characters,22,Mar-90,marvel
Walter Rosen (Earth-616),Public,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,22,Jul-90,marvel
Adam Crown (Earth-616),Secret,Good,Brown Eyes,Brown Hair,Male,NA,Deceased Characters,22,Aug-91,marvel
Epoch (Earth-616),NA,NA,Red Eyes,Brown Hair,Female,NA,Living Characters,22,Aug-91,marvel
Donald Clendenon (Earth-616),Secret,Neutral,Brown Eyes,Black Hair,Male,NA,Living Characters,22,Oct-92,marvel
Feron (Excalibur) (Earth-616),NA,Good,Blue Eyes,Black Hair,Male,NA,Living Characters,22,Mar-92,marvel
Samson Buchanan (Earth-616),NA,NA,NA,Blond Hair,Male,NA,Living Characters,22,Oct-92,marvel
Curtis Elkins (Earth-616),Secret,Good,Brown Eyes,Black Hair,Male,NA,Living Characters,22,Mar-93,marvel
Donna Diego (Earth-616),Secret,Neutral,Green Eyes,Red Hair,Female,NA,Deceased Characters,22,May-93,marvel
Firearm (Earth-616),Secret,NA,NA,NA,Male,NA,Living Characters,22,Mar-93,marvel
Jean-Luc LeBeau (Earth-616),Secret,Neutral,Brown Eyes,Brown Hair,Male,NA,Living Characters,22,Dec-93,marvel
Kenneth Parmenter (Earth-616),Secret,Good,NA,NA,Male,NA,Living Characters,22,Mar-93,marvel
Samuel Caulkin (Earth-616),Secret,Good,NA,Brown Hair,Male,NA,Living Characters,22,Mar-93,marvel
Dominic Destine (Earth-616),Secret,Good,NA,Red Hair,Male,NA,Living Characters,22,Jul-94,marvel
Jasmine Destine (Earth-616),Secret,Good,Brown Eyes,Black Hair,Female,NA,Living Characters,22,Jul-94,marvel
Paradox (Strange) (Earth-616),Secret,Good,White Eyes,No Hair,Male,NA,Living Characters,22,Jan-94,marvel
Gregory Herd (Earth-616),Secret,Neutral,Blue Eyes,Black Hair,Male,NA,Living Characters,22,Nov-95,marvel
Buzz (Earth-616),Public,Good,NA,Brown Hair,Male,NA,Living Characters,22,Jan-96,marvel
"Nicholas Fury (LMD, Heroes Reborn) (Earth-616)",Secret,Bad,Blue Eyes,Brown Hair,Male,NA,Living Characters,22,Nov-96,marvel
Rosalind Sharpe (Earth-616),Public,NA,Brown Eyes,Black Hair,Female,NA,Living Characters,22,Jun-96,marvel
T-Ray (Earth-616),Secret,Bad,Green Eyes,Red Hair,Male,NA,Deceased Characters,22,Jan-97,marvel
Tonaja (Earth-616),Secret,NA,NA,Brown Hair,Female,NA,Living Characters,22,Dec-98,marvel
Litterbug (Earth-616),Secret,Neutral,Red Eyes,No Hair,Male,NA,Living Characters,22,Jun-02,marvel
Gabriel Stacy (Earth-616),Secret,Neutral,Brown Eyes,Brown Hair,Male,NA,Living Characters,22,Aug-04,marvel
Aleksander Lukin (Earth-616),NA,Bad,Blue Eyes,Black Hair,Male,NA,Deceased Characters,22,Jan-05,marvel
Shingen Harada II (Earth-616),Secret,Bad,Black Eyes,Black Hair,Male,NA,Living Characters,22,Mar-12,marvel
Hermann Goering (Earth-616),Public,Bad,NA,NA,Male,NA,Deceased Characters,21,Sep-40,marvel
Tex Morgan (Earth-616),No Dual,Good,NA,Black Hair,Male,NA,Living Characters,21,Aug-48,marvel
Dull Knife (Earth-616),Public,Good,NA,Black Hair,Male,NA,Living Characters,21,Aug-54,marvel
It the Living Colossus (Earth-616),Secret,Neutral,White Eyes,Bald,Male,NA,Living Characters,21,Feb-61,marvel
Bruce Olafsen (Earth-616),Public,Bad,Brown Eyes,Brown Hair,Male,NA,Living Characters,21,Sep-62,marvel
Bor Burison (Earth-616),NA,Good,Blue Eyes,Red Hair,Male,NA,Deceased Characters,21,Oct-63,marvel
Maha Yogi (Earth-616),Secret,Bad,Blue Eyes,Black Hair,Male,NA,Living Characters,21,Sep-63,marvel
Hildegund (Earth-616),NA,Good,NA,Brown Hair,Female,NA,Living Characters,21,Sep-65,marvel
Spencer Smythe (Earth-616),No Dual,Neutral,NA,Grey Hair,Male,NA,Deceased Characters,21,Jun-65,marvel
Cerberus (Earth-616),NA,Bad,Yellow Eyes,Brown Hair,Male,NA,Living Characters,21,Jul-66,marvel
Fafnir (Nastrond) (Earth-616),Secret,NA,Red Eyes,No Hair,Male,NA,Deceased Characters,21,Nov-66,marvel
Ralph Roberts (Earth-616),Secret,Bad,Brown Eyes,Brown Hair,Male,NA,Deceased Characters,21,Apr-67,marvel
Sentry 459 (Earth-616),Secret,Bad,Black Eyes,No Hair,NA,NA,Living Characters,21,Jul-67,marvel
Seth (Atlantean) (Earth-616),Public,Good,Blue Eyes,Black Hair,Male,NA,Living Characters,21,Jan-68,marvel
Boss Morgan (Earth-616),No Dual,Bad,NA,Black Hair,Male,NA,Deceased Characters,21,Aug-72,marvel
Christine Palmer (Earth-616),NA,Good,Blue Eyes,Red Hair,Female,NA,Living Characters,21,Nov-72,marvel
Philip Russell (Earth-616),Public,Bad,NA,Grey Hair,Male,NA,Living Characters,21,Feb-72,marvel
Ram II (Earth-616),Secret,NA,NA,NA,Male,NA,Living Characters,21,Apr-72,marvel
Silas Grant (Earth-616),No Dual,Good,NA,Grey Hair,Male,NA,Living Characters,21,Mar-72,marvel
Roxanne Gilbert (Earth-616),Public,NA,Blue Eyes,Black Hair,Female,NA,Living Characters,21,Jun-73,marvel
Shou-Lao (Earth-616),NA,Neutral,Red Eyes,No Hair,Male,NA,Living Characters,21,Jul-74,marvel
Autolycus (Earth-616),No Dual,Bad,NA,Black Hair,Male,NA,Living Characters,21,Apr-75,marvel
Veronica Dultry (Earth-616),Secret,Bad,Yellow Eyes,Black Hair,Female,NA,Living Characters,21,Aug-75,marvel
Brian DeWolff (Earth-616),Public,Neutral,Blue Eyes,Strawberry Blond Hair,Male,NA,Deceased Characters,21,Aug-76,marvel
Davan Shakari (Earth-616),Secret,Bad,White Eyes,Black Hair,Male,NA,Living Characters,21,Feb-76,marvel
Domini (Earth-616),Secret,NA,Blue Eyes,Red Hair,Female,NA,Living Characters,21,Jun-76,marvel
Woodgod (Earth-616),Secret,Good,Grey Eyes,Brown Hair,Male,NA,Living Characters,21,Aug-76,marvel
Nezarr (Earth-616),Secret,Neutral,No Eyes,No Hair,Male,NA,Living Characters,21,Mar-77,marvel
One Above All (Earth-616),Secret,Neutral,NA,No Hair,Male,NA,Living Characters,21,Jan-77,marvel
Randall Darby (Earth-616),Secret,Bad,Blue Eyes,Grey Hair,Male,NA,Living Characters,21,Nov-77,marvel
Deathwings,NA,Bad,NA,NA,NA,NA,Living Characters,21,Dec-79,marvel
Genji Odashu (Earth-616),NA,Good,NA,Black Hair,Female,NA,Living Characters,21,Feb-79,marvel
Ilongo Savage (Earth-616),Public,Good,NA,Black Hair,Male,NA,Living Characters,21,Feb-79,marvel
Richard Carson (Earth-616),NA,NA,NA,Brown Hair,Male,NA,Living Characters,21,Feb-79,marvel
Angelo Macon (Earth-616),NA,Bad,NA,Blond Hair,Male,NA,Living Characters,21,May-80,marvel
Carmen Pryde (Earth-616),Public,Good,Brown Eyes,Brown Hair,Male,NA,Deceased Characters,21,Jan-80,marvel
Detective Flint (Earth-616),Secret,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,21,Oct-81,marvel
Fireflyte (Earth-616),Public,Good,Magenta Eyes,Magenta Hair,Female,NA,Living Characters,21,Sep-81,marvel
Alain Racine (Earth-616),Secret,Good,Blue Eyes,Brown Hair,Male,NA,Living Characters,21,Jun-82,marvel
Wolf (Thunderiders) (Earth-616),Secret,Good,Brown Eyes,Black Hair,Male,NA,Living Characters,21,May-82,marvel
Smartship Friday (Earth-616),Public,Good,NA,NA,NA,NA,Living Characters,21,Aug-84,marvel
Stanley Carter (Earth-616),Secret,Bad,Blue Eyes,Brown Hair,Male,NA,Deceased Characters,21,Oct-85,marvel
Buchanan Mitty (Earth-616),Secret,NA,Hazel Eyes,Brown Hair,Male,NA,Deceased Characters,21,Oct-86,marvel
Margaret Murdock (Earth-616),Secret,Good,Blue Eyes,Brown Hair,Female,NA,Living Characters,21,Apr-86,marvel
Thomas Maximoff (Earth-616),Public,Good,Blue Eyes,Auburn Hair,Male,NA,Deceased Characters,21,Sep-86,marvel
William Maximoff (Earth-616),Public,Good,Blue Eyes,Auburn Hair,Male,NA,Deceased Characters,21,Sep-86,marvel
Ariel (Coconut Grove) (Earth-616),No Dual,Good,Black Eyes,Pink Hair,Female,NA,Living Characters,21,May-87,marvel
Priscilla Lyons (Earth-616),Secret,NA,Blue Eyes,Strawberry Blond Hair,Female,NA,Living Characters,21,Jan-87,marvel
Tath Ki (Skrull) (Earth-616),Secret,Bad,Green Eyes,No Hair,Male,NA,Living Characters,21,Oct-87,marvel
Imei Chang (Earth-616),Public,Good,NA,Black Hair,Female,NA,Deceased Characters,21,Aug-88,marvel
Luis Alvarez (Earth-616),Public,Bad,Blue Eyes,Black Hair,Male,NA,Deceased Characters,21,Feb-88,marvel
Anne Marie Hoag (Earth-616),No Dual,Good,Blue Eyes,Grey Hair,Female,NA,Living Characters,21,May-89,marvel
Archibald Corrigan (Earth-616),No Dual,Good,NA,Black Hair,Male,NA,Deceased Characters,21,Feb-89,marvel
Dinah Soar (Earth-616),Secret,Good,Black Eyes,No Hair,Female,NA,Deceased Characters,21,Jul-89,marvel
Alex Flores (Earth-616),Secret,Good,Blue Eyes,Blond Hair,Female,NA,Living Characters,21,Oct-91,marvel
Eisenhower Canty (Earth-616),Secret,Good,Brown Eyes,Black Hair,Male,NA,Living Characters,21,Mar-92,marvel
Zachary Moonhunter (Earth-616),Public,Good,Blue Eyes,Black Hair,Male,NA,Living Characters,21,Jul-92,marvel
Adam Neramani (Earth-616),Secret,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,21,Oct-93,marvel
Victor Slaughter (Earth-616),Public,Bad,Red Eyes,White Hair,Male,NA,Living Characters,21,Feb-93,marvel
Connor Trevane (Earth-616),Public,Good,NA,Brown Hair,Male,NA,Living Characters,21,Mar-94,marvel
Jaine Cutter (Earth-616),No Dual,Neutral,Blue Eyes,Black Hair,Female,NA,Living Characters,21,Mar-94,marvel
Walter Destine (Earth-616),Secret,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,21,Jul-94,marvel
Rina Patel (Earth-616),Public,Good,Blue Eyes,Black Hair,Female,NA,Living Characters,21,May-95,marvel
Rebecca Barnes (Heroes Reborn) (Earth-616),Secret,NA,Hazel Eyes,Red Hair,Female,NA,Living Characters,21,Sep-96,marvel
Montgomery Burns (Earth-616),No Dual,NA,NA,Bald,Male,NA,Living Characters,21,Jul-97,marvel
Demitrius Collins (Earth-616),Public,Good,NA,Black Hair,Male,NA,Living Characters,21,Jul-98,marvel
Cassandra Nova Xavier (Earth-616),Secret,Bad,Blue Eyes,No Hair,Female,NA,Living Characters,21,Jul-01,marvel
Thialfi (Earth-616),Public,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,21,Jan-02,marvel
Frank Dean (Earth-616),Secret,Bad,NA,Brown Hair,Male,NA,Deceased Characters,21,Jul-03,marvel
Shortpack (Earth-616),Secret,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,21,Aug-03,marvel
Kyle Jinadu (Earth-616),Public,Good,Brown Eyes,Black Hair,Male,Homosexual Characters,Living Characters,21,Jun-09,marvel
Manuel Enduque (Earth-616),Public,Bad,Brown Eyes,Black Hair,Male,NA,Living Characters,21,Sep-11,marvel
Nightmask (Earth-616),Public,Good,Pink Eyes,Bald,NA,NA,Living Characters,21,Mar-13,marvel
Jack Castle (Earth-616),Secret,Good,Hazel Eyes,Blond Hair,Male,NA,Deceased Characters,20,Jan-40,marvel
Philo Zogolowski (Earth-616),Public,Good,Brown Eyes,Brown Hair,Male,NA,Deceased Characters,20,Feb-40,marvel
Elton Morrow (Earth-616),Secret,Good,Blue Eyes,No Hair,Male,NA,Living Characters,20,Apr-41,marvel
Cloud (Horse) (Earth-616),Public,Good,NA,White Hair,Female,NA,Living Characters,20,Aug-48,marvel
Hoot Temple (Earth-616),Public,Good,NA,Grey Hair,Male,NA,Deceased Characters,20,Sep-54,marvel
Thunder (Outlaw Kid) (Earth-616),Public,Good,NA,NA,Male,NA,Living Characters,20,Sep-54,marvel
Gregor Shapanka (Earth-616),Secret,Bad,Brown Eyes,Brown Hair,Male,NA,Deceased Characters,20,Sep-63,marvel
Roscoe Sweeney (Earth-616),NA,Bad,NA,NA,Male,NA,Deceased Characters,20,Apr-64,marvel
Urd (Earth-616),No Dual,Good,Blue Eyes,Brown Hair,Female,NA,Living Characters,20,Mar-64,marvel
Jurgen Hauptmann (Earth-616),NA,Bad,NA,NA,Male,NA,Living Characters,20,Jun-68,marvel
Karl Kaufman (Earth-616),Secret,Good,Blue Eyes,Brown Hair,Male,NA,Deceased Characters,20,Sep-68,marvel
Madeline Bass (Earth-616),Public,Neutral,Brown Eyes,Brown Hair,Female,NA,Living Characters,20,May-68,marvel
Edward March (Earth-616),Public,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,20,Jan-70,marvel
