2017-18 Class Size by Gender and Selected Population ,,,,,,,,,
School Name,School Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Dartmouth - Dartmouth High,00720505,     513,  16.9,"      1,084",  48.8,  51.1,   1.8,  12.1,15
Dartmouth - Dartmouth Middle,00720050,     696,  17.0,        978,  45.8,  54.2,   1.5,  15.0,21.8
Dartmouth - George H Potter,00720030,     169,  21.2,        416,  44.5,  55.5,   4.1,  15.4,31.3
Dartmouth - James M. Quinn School,00720040,     265,  21.1,        634,  47.0,  53.0,   3.6,  19.4,23.7
Dartmouth - Joseph Demello,00720015,     189,  20.9,        438,  48.2,  51.8,   6.4,  17.1,20.3
Dedham - Avery,00730010,      66,  21.8,        324,  50.6,  49.4,  16.7,  30.9,39.8
Dedham - Dedham High,00730505,     379,  15.6,        744,  50.0,  50.0,   5.9,  16.7,18.7
Dedham - Dedham Middle School,00730305,     567,  17.0,        618,  48.5,  51.5,   5.5,  24.4,21.8
Dedham - Early Childhood Center,00730005,      69,  16.5,        284,  45.4,  54.6,   5.6,  25.4,24.6
Dedham - Greenlodge,00730025,      65,  18.6,        269,  43.9,  56.1,   3.3,  27.9,7.8
Dedham - Oakdale,00730030,      66,  19.5,        292,  50.0,  50.0,  10.6,  20.5,15.4
Dedham - Riverdale,00730045,      66,  12.9,        192,  44.3,  55.7,  11.5,  26.0,30.7
Deerfield - Deerfield Elementary,00740015,     287,  18.0,        409,  50.6,  49.4,   0.7,  22.5,17.8
Dennis-Yarmouth - Dennis-Yarmouth Regional High,06450505,     663,  14.5,"      1,038",  48.9,  51.1,   5.8,  16.3,33.7
Dennis-Yarmouth - Ezra H Baker Innovation School,06450005,      78,  16.6,        346,  46.5,  53.5,  10.1,  22.5,42.2
Dennis-Yarmouth - Marguerite E Small Elementary,06450015,      51,  18.7,        292,  42.8,  57.2,  16.4,  22.3,52.4
Dennis-Yarmouth - Mattacheese Middle School,06450305,     278,  15.5,        447,  49.4,  50.6,   7.2,  23.5,42.1
Dennis-Yarmouth - N H Wixon Innovation School,06450050,     183,  21.8,        543,  49.9,  50.1,  11.2,  21.7,37.8
Dennis-Yarmouth - Station Avenue Elementary,06450025,      84,  20.5,        432,  49.3,  50.7,  10.2,  13.4,37.3
Dighton-Rehoboth - Dighton Elementary,06500005,     210,  22.3,        469,  46.5,  53.5,   0.0,  10.4,15.8
Dighton-Rehoboth - Dighton Middle School,06500305,     208,  19.1,        402,  46.8,  53.2,   0.0,  16.2,17.2
Dighton-Rehoboth - Dighton-Rehoboth Regional High School,06500505,     466,  16.9,        919,  44.6,  55.4,   0.1,  15.8,11.9
Dighton-Rehoboth - Dorothy L Beckwith,06500310,     285,  19.5,        591,  50.6,  49.4,   0.3,  18.6,16.2
Dighton-Rehoboth - Palmer River,06500010,     286,  21.6,        561,  52.2,  47.8,   0.4,  14.4,12.7
Douglas - Douglas Elementary School,00770015,     120,  23.0,        368,  52.4,  47.6,   0.3,  20.1,15.5
Douglas - Douglas High School,00770505,     231,  13.2,        389,  50.6,  49.4,   0.5,  19.5,11.1
Douglas - Douglas Middle School,00770305,     115,  24.2,        344,  44.2,  55.8,   0.9,  16.6,16.3
Douglas - Douglas Primary School,00770005,      62,  19.4,        230,  47.4,  52.6,   0.4,  21.3,16.5
Dover - Chickering,00780005,     205,  18.1,        498,  44.2,  55.8,   4.0,  14.7,2
Dover-Sherborn - Dover-Sherborn Regional High,06550505,     368,  15.7,        668,  49.4,  50.4,   0.6,  13.8,5.1
Dover-Sherborn - Dover-Sherborn Regional Middle School,06550405,     339,  18.3,        531,  49.2,  50.8,   0.6,  15.6,2.4
Dracut - Brookside Elementary,00790035,     187,  22.1,        458,  46.9,  53.1,   2.6,  21.2,24.9
Dracut - Dracut Senior High,00790505,     393,  18.2,        854,  50.1,  49.9,   2.2,   9.0,15.2
Dracut - George H. Englesby Elementary School,00790045,     222,  21.3,        524,  50.2,  49.8,   1.7,  18.1,27.7
Dracut - Greenmont Avenue,00790030,     117,  22.4,        291,  46.0,  54.0,   5.5,  16.8,29.2
Dracut - Joseph A Campbell Elementary,00790020,     239,  19.5,        580,  44.5,  55.5,   1.0,  24.7,17.9
Dracut - Justus C. Richardson Middle School,00790410,     492,  20.8,        893,  51.7,  48.3,   1.1,  15.5,22.6
Dudley Street Neighborhood Charter School (District) - Dudley Street Neighborhood Charter School,04070405,      38,  20.9,        286,  53.8,  46.2,  22.4,  11.9,56.6
Dudley-Charlton Reg - Charlton Elementary,06580020,      94,  21.0,        351,  46.7,  53.3,   4.8,  20.5,19.7
Dudley-Charlton Reg - Charlton Middle School,06580310,     410,  18.3,        690,  47.7,  52.3,   0.4,  13.0,17.1
Dudley-Charlton Reg - Dudley Elementary,06580005,     108,  22.1,        396,  48.0,  52.0,   2.8,  14.1,25.3
Dudley-Charlton Reg - Dudley Middle School,06580305,     401,  17.6,        593,  53.1,  46.9,   1.2,  14.3,23.3
Dudley-Charlton Reg - Heritage School,06580030,     155,  19.4,        478,  45.8,  54.2,   3.6,  14.0,19.2
Dudley-Charlton Reg - Mason Road School,06580010,      71,  20.4,        287,  45.3,  54.7,   7.0,  24.7,30.7
Dudley-Charlton Reg - Shepherd Hill Regional High,06580505,     467,  18.9,"      1,155",  51.7,  48.2,   0.8,   9.4,16.1
Duxbury - Alden School,00820004,     310,  22.2,        687,  50.2,  49.8,   0.4,  12.7,4.9
Duxbury - Chandler Elementary,00820006,     291,  19.8,        646,  50.2,  49.8,   0.6,  18.1,6.3
Duxbury - Duxbury High,00820505,     485,  19.2,"      1,056",  49.9,  50.0,   0.1,   9.6,5.2
Duxbury - Duxbury Middle,00820305,     313,  22.0,        745,  48.2,  51.8,   0.4,  15.7,5.9
East Bridgewater - Central,00830005,     240,  18.6,        600,  52.2,  47.8,   1.0,  17.7,15.8
East Bridgewater - East Bridgewater JR./SR. High School,00830505,     490,  21.5,"      1,044",  51.6,  48.4,   0.9,  17.5,14.1
East Bridgewater - Gordon W Mitchell,00830010,     297,  22.9,        667,  42.9,  57.1,   0.9,  22.6,17.1
East Longmeadow - Birchland Park,00870305,     329,  19.8,        670,  46.6,  53.4,   1.6,  18.4,18.8
East Longmeadow - East Longmeadow High,00870505,     336,  18.5,        837,  49.9,  50.1,   0.8,  15.9,14.8
East Longmeadow - Mapleshade,00870010,     134,  15.6,        281,  49.5,  50.5,   2.8,  15.3,23.8
East Longmeadow - Meadow Brook,00870013,     183,  20.6,        580,  46.6,  53.4,   5.3,  19.0,19.3
East Longmeadow - Mountain View,00870015,     120,  17.3,        290,  48.6,  51.4,   1.7,  14.1,15.9
Eastham - Eastham Elementary,00850005,     143,  13.2,        187,  48.7,  51.3,   2.7,  21.4,17.6
Easthampton - Center School,00860005,      42,  19.8,        201,  45.3,  54.7,   4.5,  17.9,27.4
Easthampton - Easthampton High,00860505,     211,  15.8,        462,  53.2,  46.5,   1.9,  13.2,23.2
Easthampton - Maple,00860010,      49,  18.5,        267,  46.8,  53.2,   2.2,  27.0,39.3
Easthampton - Neil A Pepin,00860020,      39,  18.2,        180,  45.0,  55.0,   6.7,  20.0,32.2
Easthampton - White Brook Middle School,00860305,     210,  19.5,        458,  51.5,  48.3,   0.2,  19.0,26.2
Easton - Center School,00880003,      54,  19.1,        277,  41.9,  58.1,   6.1,  16.6,16.2
Easton - Easton Middle School,00880405,     467,  20.2,        895,  48.7,  51.3,   0.4,  22.0,11.3
Easton - Moreau Hall,00880020,      45,  18.9,        233,  45.9,  54.1,   5.6,  12.4,17.2
Easton - Oliver Ames High,00880505,     443,  18.5,"      1,188",  53.4,  46.6,   1.1,  15.2,10.9
Easton - Parkview Elementary,00880015,      63,  18.2,        324,  48.8,  51.2,   0.6,  18.2,9.6
Easton - Richardson Olmsted School,00880025,     144,  23.7,        854,  50.1,  49.9,   1.4,  17.6,12.2
Edgartown - Edgartown Elementary,00890005,     255,  16.2,        359,  51.3,  48.7,  20.3,  23.7,28.7
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District) - Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520505,     156,  18.2,        360,  61.4,  38.6,  14.7,  14.7,53.6
Erving - Erving Elementary,00910030,      56,  18.1,        144,  47.9,  52.1,   1.4,  18.8,27.1
Essex North Shore Agricultural and Technical School District - Essex Technical High School,08170505,     833,  17.4,"      1,369",  58.4,  41.6,   0.3,  16.4,16
Everett - Adams School,00930003,      64,  14.2,        227,  38.8,  61.2,  24.7,  15.9,46.7
Everett - Devens School,00930030,     146,   3.9,         71,  22.5,  77.5,  11.3,  76.1,71.8
Everett - Everett High,00930505,     862,  16.8,"      1,952",  48.8,  51.2,  21.4,  10.3,41.1
Everett - George Keverian School,00930028,     474,  22.6,        886,  48.9,  51.1,  16.8,  19.9,49
Everett - Lafayette School,00930038,     472,  24.2,        938,  51.5,  48.5,  18.2,  23.0,46.8
Everett - Madeline English School,00930018,     493,  20.3,        823,  50.3,  49.7,  15.1,  21.4,40.7
Everett - Parlin School,00930058,     415,  24.5,        834,  51.0,  49.0,  36.5,  12.2,54.6
Everett - Sumner G. Whittier School,00930010,     306,  21.8,        650,  49.7,  50.3,  37.1,  14.6,54.2
Everett - Webster School,00930015,     304,  15.3,        744,  44.8,  55.2,  25.8,  24.2,50.9
Excel Academy Charter (District) - Excel Academy Charter School,04100205,     405,  24.2,"      1,131",  50.7,  49.3,  15.3,  20.5,40.1
Fairhaven - East Fairhaven,00940010,     151,  22.0,        419,  46.1,  53.9,   4.1,  20.0,32.7
Fairhaven - Fairhaven High,00940505,     349,  15.7,        659,  52.4,  47.6,   1.5,  14.1,21.1
Fairhaven - Hastings Middle,00940305,     274,  19.4,        479,  47.8,  52.2,   0.4,  14.6,25.5
Fairhaven - Leroy Wood,00940030,     222,  20.1,        506,  50.0,  50.0,   2.6,  16.6,31.6
Fall River - B M C Durfee High,00950505,"   1,188",  16.7,"      2,196",  49.2,  50.8,  14.4,  16.1,57
Fall River - Carlton M. Viveiros Elementary School,00950009,     320,  19.7,        788,  46.7,  53.3,  23.2,  16.8,75
Fall River - Fall River Gateway to College @ BCC,00950515,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Fall River - Henry Lord Community School,00950017,     335,  16.5,        677,  47.6,  52.4,  23.3,  27.9,79.9
Fall River - James Tansey,00950140,     104,  24.9,        324,  52.5,  47.5,   4.0,  15.1,42
Fall River - John J Doran,00950045,     210,  20.4,        548,  47.3,  52.7,  14.2,  25.0,77.9
Fall River - Letourneau Elementary School,00950013,     228,  22.3,        641,  50.2,  49.8,  37.6,  16.1,70.8
Fall River - Mary Fonseca Elementary School,00950011,     240,  24.9,        757,  48.5,  51.5,  27.1,  15.2,78.5
Fall River - Matthew J Kuss Middle,00950320,     292,  19.5,        727,  53.0,  47.0,   4.7,  20.9,60.7
Fall River - Morton Middle,00950315,     267,  19.7,        596,  44.8,  55.2,   8.7,  21.5,58.2
Fall River - North End Elementary,00950005,     324,  19.1,        785,  46.1,  53.9,  10.6,  25.6,57.6
Fall River - Resiliency Preparatory Academy,00950525,     150,  10.0,        229,  52.4,  47.6,   4.4,  28.8,82.1
Fall River - Samuel Watson,00950145,      96,  26.3,        322,  49.4,  50.6,  16.8,  13.0,78.9
Fall River - Spencer Borden,00950130,     287,  16.9,        609,  45.0,  55.0,  10.0,  26.8,59.3
Fall River - Stone PK-12 School,00950340,      77,   6.2,         59,  23.7,  76.3,   8.5,  94.9,91.5
Fall River - Talbot Innovation School,00950305,     241,  19.0,        525,  43.6,  56.4,  31.6,  21.9,73.1
Fall River - William S Greene,00950065,     314,  20.1,        803,  51.2,  48.8,  12.7,  21.9,69.2
Falmouth - East Falmouth Elementary,00960005,      80,  16.1,        258,  48.8,  51.2,   3.5,  20.9,45.3
Falmouth - Falmouth High,00960505,     683,  14.1,        840,  51.9,  48.0,   2.4,  10.1,22.4
Falmouth - Lawrence,00960405,     442,  17.1,        604,  48.0,  52.0,   3.0,  18.5,24.7
Falmouth - Morse Pond School,00960305,     253,  24.7,        553,  49.7,  50.3,   3.1,  21.9,28.6
Falmouth - Mullen-Hall,00960020,     125,  17.5,        438,  43.4,  56.6,   6.6,  12.8,26.3
Falmouth - North Falmouth Elementary,00960030,      85,  19.0,        323,  52.6,  47.4,   1.9,  17.3,19.2
Falmouth - Teaticket,00960015,      89,  15.9,        372,  43.5,  56.5,   8.3,  26.3,45.2
Farmington River Reg - Farmington River Elementary,06620020,      76,  13.5,        123,  38.2,  61.8,   0.0,  22.0,38.2
Fitchburg - Arthur M Longsjo Middle School,00970315,     329,  18.3,        632,  44.9,  55.1,   5.4,  23.1,64.1
Fitchburg - Crocker Elementary,00970016,     199,  24.1,        679,  45.5,  54.5,  14.3,  27.7,62.2
Fitchburg - Fitchburg High,00970505,     549,  16.7,"      1,204",  48.5,  51.5,  10.7,  20.9,53.1
Fitchburg - Goodrich Academy,00970510,     129,   7.6,        302,  45.0,  55.0,   4.6,  18.2,55.3
Fitchburg - McKay Arts Academy,00970340,     275,  21.2,        707,  53.3,  46.7,  11.6,  22.6,60
Fitchburg - Memorial Intermediate,00970048,     336,  22.3,        743,  49.8,  50.2,  17.4,  14.5,55
Fitchburg - Reingold Elementary,00970043,     255,  20.5,        672,  46.0,  54.0,  20.1,  23.8,58.2
Fitchburg - South Street Elementary,00970060,     268,  19.9,        678,  50.0,  50.0,  16.5,  26.8,67.1
Florida - Abbott Memorial,00980005,      85,   7.9,         82,  48.8,  51.2,   0.0,  31.7,24.4
Four Rivers Charter Public (District) - Four Rivers Charter Public School,04130505,     363,  13.0,        223,  49.3,  50.7,   0.0,  13.0,25.1
Foxborough - Charles Taylor Elementary,00990050,     106,  19.8,        239,  45.6,  54.4,   4.2,  16.7,10.5
Foxborough - Foxborough High,00990505,     539,  13.7,        810,  47.8,  52.2,   0.6,  15.1,14.7
Foxborough - John J Ahern,00990405,     558,  18.1,        850,  48.2,  51.8,   1.4,  21.5,14.6
Foxborough - Mabelle M Burrell,00990015,     113,  19.7,        330,  46.7,  53.3,   2.7,  23.0,13.9
Foxborough - Vincent M Igo Elementary,00990020,     185,  18.8,        395,  49.6,  50.4,   5.8,  21.5,19.7
Foxborough Regional Charter (District) - Foxborough Regional Charter School,04460550,     768,  20.1,"      1,500",  52.8,  47.1,  13.5,   8.2,18.3
Framingham - Barbieri Elementary,01000035,     316,  18.4,        672,  55.2,  44.8,  43.0,  22.0,44.2
Framingham - Brophy,01000006,     237,  17.3,        477,  49.9,  50.1,  43.2,  20.5,48.2
Framingham - Cameron Middle School,01000302,     434,  16.9,        565,  48.5,  51.5,  10.1,  27.4,37.3
Framingham - Charlotte A Dunning,01000007,     225,  17.4,        470,  46.6,  53.4,  18.1,  24.5,20.4
Framingham - Framingham High School,01000515,"   1,016",  16.8,"      2,219",  49.3,  50.7,  13.3,  15.8,25.2
Framingham - Fuller Middle,01000305,     356,  18.4,        572,  48.6,  51.4,  34.3,  24.3,43.7
Framingham - Hemenway,01000015,     237,  19.7,        561,  50.3,  49.7,  16.4,  24.8,18.4
Framingham - Juniper Hill School,01000001,     344,   6.9,        294,  41.8,  58.2,  14.3,  47.6,28.2
Framingham - King Elementary School,01000005,     152,  16.5,        272,  46.7,  53.3,  23.5,  13.6,18.8
Framingham - Mary E Stapleton Elementary,01000045,     184,  17.0,        378,  46.0,  54.0,  13.0,  31.7,39.2
Framingham - Miriam F McCarthy School,01000050,     260,  18.3,        566,  49.6,  50.4,  22.8,  35.9,51.1
Framingham - Potter Road,01000039,     213,  20.3,        515,  49.3,  50.7,  28.3,  14.8,18.4
Framingham - Walsh Middle,01000310,     479,  17.6,        764,  46.5,  53.5,   6.4,  24.5,26.3
Framingham - Woodrow Wilson,01000055,     265,  19.3,        583,  49.6,  50.4,  60.9,  13.7,48.5
Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,04780505,     238,  17.2,        400,  53.3,  46.3,   0.0,  14.0,4.3
Franklin - Annie Sullivan Middle School,01010040,     237,  19.2,        449,  47.2,  52.6,   1.1,  15.8,8
Franklin - Davis Thayer,01010035,      96,  18.7,        224,  47.8,  52.2,   4.0,  19.2,20.1
Franklin - Franklin Early Childhood Development Center,01010003,       6,  20.0,        120,  35.0,  65.0,   0.0,  48.3,10.8
Franklin - Franklin High,01010505,     892,  17.3,"      1,788",  49.7,  50.3,   0.3,  14.3,6.6
Franklin - Helen Keller Elementary,01010012,     160,  20.4,        410,  47.6,  52.4,   1.7,  18.3,9.8
Franklin - Horace Mann,01010405,     228,  21.2,        468,  50.9,  49.1,   0.0,  13.9,6.4
Franklin - J F Kennedy Memorial,01010013,     144,  20.4,        370,  47.0,  53.0,   1.4,  18.4,8.1
Franklin - Jefferson Elementary,01010010,     136,  19.8,        343,  45.2,  54.8,   2.9,  24.5,5.5
Franklin - Oak Street Elementary,01010030,     152,  21.1,        401,  45.4,  54.6,   0.7,  16.7,10.2
Franklin - Parmenter,01010032,     144,  18.5,        334,  48.2,  51.8,   3.3,  15.3,18.9
Franklin - Remington Middle,01010310,     241,  19.1,        449,  49.7,  50.3,   1.1,  21.4,10.5
Franklin County Regional Vocational Technical - Franklin County Technical,08180605,     289,  14.6,        491,  31.2,  68.8,   0.2,  31.8,33.4
Freetown-Lakeville - Apponequet Regional High,06650505,     356,  16.3,        761,  48.8,  51.2,   0.1,  13.1,10.4
Freetown-Lakeville - Assawompset Elementary School,06650002,      84,  20.7,        435,  46.2,  53.8,   1.1,  10.8,19.1
Freetown-Lakeville - Freetown Elementary School,06650001,      87,  17.7,        425,  48.5,  51.5,   1.2,  17.9,24.7
Freetown-Lakeville - Freetown-Lakeville Middle School,06650305,     296,  22.7,        746,  51.2,  48.8,   0.3,  16.6,16.8
Freetown-Lakeville - George R Austin Intermediate School,06650015,     157,  19.9,        446,  51.1,  48.9,   1.3,  15.0,17.5
Frontier - Frontier Regional,06700505,     445,  13.1,        625,  46.1,  53.9,   1.4,  19.4,18.6
Gardner - Elm Street School,01030001,     100,  22.6,        568,  47.5,  52.5,   4.8,  23.8,51.4
Gardner - Gardner Academy for Learning and Technology,01030515,      49,   9.6,         70,  45.7,  54.3,   1.4,  30.0,68.6
Gardner - Gardner High,01030505,     331,  16.3,        691,  46.5,  53.5,   3.2,  18.5,42.1
Gardner - Gardner Middle School,01030405,     282,  20.8,        552,  50.0,  50.0,   3.8,  24.1,50.4
Gardner - Waterford Street,01030020,      73,  22.9,        502,  48.6,  51.4,   4.0,  24.9,58
Gateway - Chester Elementary,06720059,      57,  17.0,        124,  38.7,  61.3,   0.0,  29.0,37.9
Gateway - Gateway Regional High,06720505,     239,   9.9,        208,  53.4,  46.6,   1.4,  16.3,24
Gateway - Gateway Regional Middle School,06720405,     141,  15.4,        198,  47.5,  52.5,   2.5,  17.2,27.8
Gateway - Littleville Elementary School,06720143,     127,  20.3,        308,  48.7,  51.3,   4.9,  21.1,30.8
Georgetown - Georgetown High School,01050505,     327,  12.5,        400,  51.8,  48.3,   0.0,  12.8,7.3
Georgetown - Georgetown Middle School,01050305,     170,  16.2,        228,  45.2,  54.8,   0.0,  14.5,10.1
Georgetown - Penn Brook,01050010,     183,  20.1,        693,  48.5,  51.5,   0.1,  11.7,9.2
Georgetown - Perley Elementary,01050005,       5,  25.2,        126,  50.0,  50.0,   1.6,  17.5,8.7
Gill-Montague - Gill Elementary,06740005,      54,  18.6,        130,  47.7,  52.3,   0.0,  15.4,28.5
Gill-Montague - Great Falls Middle,06740310,     165,  14.9,        242,  47.5,  52.5,   2.1,  27.3,43
Gill-Montague - Hillcrest Elementary School,06740015,      66,  16.0,        160,  43.1,  56.9,   6.9,  25.6,56.3
Gill-Montague - Sheffield Elementary School,06740050,     103,  17.9,        218,  48.2,  51.8,  10.6,  28.4,59.6
Gill-Montague - Turners Fall High,06740505,     191,   9.8,        209,  57.9,  42.1,   4.3,  23.0,32.5
Global Learning Charter Public (District) - Global Learning Charter Public School,04960305,     412,  14.4,        505,  49.9,  50.1,   9.3,  14.9,52.1
Gloucester - Beeman Memorial,01070010,      73,  19.1,        340,  51.2,  48.8,  11.5,  21.2,45.9
Gloucester - East Gloucester Elementary,01070020,      49,  17.5,        213,  47.4,  52.6,   3.8,  20.7,28.6
Gloucester - Gloucester High,01070505,     451,  14.3,        803,  46.5,  53.5,   6.2,  26.3,32.6
Gloucester - Gloucester PreSchool,01070025,      12,  11.3,        135,  42.2,  57.8,   0.0,  58.5,41.5
Gloucester - Plum Cove School,01070042,      49,  17.4,        213,  49.3,  50.7,   1.4,  18.3,28.2
Gloucester - Ralph B O'Maley Middle,01070305,     362,  20.1,        673,  46.5,  53.5,   3.1,  25.0,31.4
Gloucester - Veterans Memorial,01070045,      50,  17.2,        210,  54.3,  45.7,  20.5,  35.2,52.4
Gloucester - West Parish,01070050,      78,  18.0,        349,  49.6,  50.4,   2.6,  21.8,28.7
Gosnold - Cuttyhunk Elementary,01090005,      11,   2.0,          2,  50.0,  50.0,   0.0,   0.0,0
Grafton - Grafton High School,01100505,     397,  17.1,        833,  50.4,  49.6,   0.5,  12.6,9.6
Grafton - Grafton Middle,01100305,     338,  19.6,        536,  51.9,  48.1,   0.7,  15.9,8.8
Grafton - Millbury Street Elementary School,01100200,     319,  20.8,        663,  47.8,  52.2,   1.4,  20.8,12.1
Grafton - North Grafton Elementary,01100025,     113,  17.3,        261,  48.3,  51.7,   1.1,  25.3,12.3
Grafton - North Street Elementary School,01100030,     286,  21.2,        587,  45.5,  54.5,   1.0,  18.1,11.1
Grafton - South Grafton Elementary,01100005,     127,  18.4,        312,  40.4,  59.6,   3.2,  27.9,12.8
Granby - East Meadow,01110004,     110,  18.4,        150,  44.0,  56.0,   2.7,  14.0,19.3
Granby - Granby Jr Sr High School,01110505,     242,  15.4,        338,  45.0,  55.0,   3.6,  13.6,20.7
Granby - West Street,01110010,      76,  13.9,        221,  52.0,  48.0,   5.0,  21.7,34.8
Greater Fall River Regional Vocational Technical - Diman Regional Vocational Technical High,08210605,     886,  13.7,"      1,386",  44.0,  56.0,   2.2,   9.7,35.6
Greater Lawrence Regional Vocational Technical - Gr Lawrence Regional Vocational Technical,08230605,"   1,363",  13.5,"      1,488",  50.1,  49.9,  12.4,  20.8,50.6
Greater Lowell Regional Vocational Technical - Gr Lowell Regional Vocational Technical,08280605,"   1,362",  18.8,"      2,226",  44.4,  55.6,   6.1,  15.5,41.1
Greater New Bedford Regional Vocational Technical - Gr New Bedford Vocational Technical,08250605,"   1,792",  15.7,"      2,153",  49.6,  50.4,   3.1,  10.6,36.4
Greenfield - Discovery School at Four Corners,01140025,      85,  17.4,        252,  48.4,  51.6,   6.3,  13.1,23.4
Greenfield - Federal Street School,01140010,      90,  17.1,        256,  49.2,  50.8,   4.7,  19.5,60.2
Greenfield - Greenfield High,01140505,     359,  13.6,        468,  45.9,  53.8,   6.0,  16.5,45.9
Greenfield - Greenfield Middle,01140305,     359,  18.0,        397,  47.9,  52.1,   5.8,  14.1,49.1
Greenfield - Newton School,01140035,      57,  16.9,        239,  50.2,  49.8,  13.0,  13.0,66.5
Greenfield - The Academy of Early Learning at North Parish,01140005,       9,  13.9,        125,  48.8,  51.2,   1.6,  33.6,45.6
Groton-Dunstable - Boutwell School,06730001,       6,  16.3,         81,  53.1,  46.9,   6.2,  51.9,21
Groton-Dunstable - Florence Roche School,06730010,     105,  20.3,        530,  49.6,  50.4,   1.9,  16.4,8.5
Groton-Dunstable - Groton Dunstable Regional,06730505,     409,  17.8,        789,  50.3,  49.7,   0.3,  11.4,4.2
Groton-Dunstable - Groton Dunstable Regional Middle,06730305,     340,  19.1,        772,  49.0,  51.0,   1.0,  18.5,6.9
Groton-Dunstable - Swallow/Union School,06730005,      60,  19.4,        291,  46.4,  53.6,   1.0,  21.3,7.2
Hadley - Hadley Elementary,01170015,     274,  15.8,        289,  45.7,  54.3,   3.5,  17.6,20.8
Hadley - Hopkins Academy,01170505,     161,  12.7,        236,  48.3,  51.7,   2.1,   9.7,12.7
Halifax - Halifax Elementary,01180005,     240,  21.5,        604,  49.7,  50.3,   0.8,  15.7,17.7
Hamilton-Wenham - Bessie Buker Elementary,06750007,      84,  21.6,        259,  45.9,  54.1,   1.9,  15.4,7.3
Hamilton-Wenham - Cutler School,06750010,     101,  20.2,        293,  49.8,  50.2,   2.0,  15.7,5.5
Hamilton-Wenham - Hamilton-Wenham Regional High,06750505,     296,  16.2,        556,  51.3,  48.7,   0.0,  12.2,4.9
Hamilton-Wenham - Miles River Middle,06750310,     325,  16.9,        383,  54.8,  45.2,   0.0,  19.1,5.5
Hamilton-Wenham - Winthrop School,06750015,      95,  19.6,        298,  51.7,  48.3,   0.0,  18.8,9.1
Hampden Charter School of Science East (District) - Hampden Charter School of Science East,04990305,     254,  17.5,        485,  52.0,  48.0,   3.3,  11.8,37.5
Hampden-Wilbraham - Green Meadows Elementary,06800005,      65,  19.9,        257,  51.0,  49.0,   0.8,  21.8,19.5
Hampden-Wilbraham - Mile Tree Elementary,06800025,      70,  22.3,        371,  50.7,  49.3,   2.7,  18.6,13.5
Hampden-Wilbraham - Minnechaug Regional High,06800505,     505,  17.5,"      1,101",  51.2,  48.8,   0.1,  13.5,11.8
Hampden-Wilbraham - Soule Road,06800030,      80,  23.8,        346,  50.6,  49.4,   1.2,  11.3,17.3
Hampden-Wilbraham - Stony Hill School,06800050,      65,  23.3,        303,  45.5,  54.5,   2.6,  12.9,16.2
Hampden-Wilbraham - Thornton Burgess,06800305,      63,  11.8,        108,  48.1,  51.9,   0.0,  26.9,25.9
Hampden-Wilbraham - Wilbraham Middle,06800310,     253,  21.9,        615,  50.9,  49.1,   0.2,  12.0,13.7
Hampshire - Hampshire Regional High,06830505,     541,  12.9,        703,  54.5,  45.5,   1.0,  21.2,15.8
Hancock - Hancock Elementary,01210005,      82,   5.0,         44,  38.6,  61.4,   0.0,   9.1,18.2
Hanover - Cedar Elementary,01220004,     163,  19.6,        429,  45.2,  54.8,   0.9,  25.2,8.9
Hanover - Center Elementary,01220005,     128,  20.9,        335,  48.1,  51.9,   1.2,  16.7,5.4
Hanover - Hanover High,01220505,     369,  16.3,        791,  46.1,  53.4,   0.3,  11.0,5.9
Hanover - Hanover Middle,01220305,     806,  19.8,        835,  48.1,  51.9,   1.2,  20.8,10.3
Hanover - Sylvester,01220015,      93,  20.8,        228,  49.6,  50.4,   0.9,  20.2,6.1
Harvard - Bromfield,01250505,     317,  15.8,        663,  48.7,  51.1,   0.6,  10.3,3.8
Harvard - Hildreth Elementary School,01250005,     235,  18.1,        444,  50.5,  49.5,   3.2,  11.3,3.8
Hatfield - Hatfield Elementary,01270005,     135,  16.9,        253,  47.4,  52.2,   0.0,  17.8,13.8
Hatfield - Smith Academy,01270505,     129,  11.5,        189,  47.6,  52.4,   0.0,  21.7,12.2
Haverhill - Bradford Elementary,01280008,     211,  15.8,        310,  46.5,  53.5,   6.1,  37.4,32.9
Haverhill - Caleb Dustin Hunking School,01280030,     483,  20.7,"      1,059",  48.0,  52.0,   2.6,  19.4,33.3
Haverhill - Consentino Annex at Bartlett School,01280005,      67,  19.3,        115,  45.2,  54.8,   3.5,   5.2,62.6
Haverhill - Consentino Middle School,01280100,     405,  23.9,"      1,013",  49.6,  50.4,  15.5,  13.4,51.8
Haverhill - Crowell,01280020,      66,  19.5,        107,  48.6,  51.4,  22.4,  16.8,60.7
Haverhill - Dr Paul Nettle,01280050,     191,  20.7,        516,  51.6,  48.4,   4.8,  26.0,50.4
Haverhill - Golden Hill,01280026,     298,  17.3,        496,  49.6,  50.4,  22.4,  27.0,56.5
Haverhill - Greenleaf Kindergarten Center,01280027,      60,  21.0,        105,  54.3,  45.7,  33.3,  12.4,68.6
