rank,male,female,year
3,John,Barbara,1932
4,William,Dorothy,1932
5,Richard,Joan,1932
6,Charles,Patricia,1932
7,Donald,Margaret,1932
8,George,Helen,1932
9,Joseph,Shirley,1932
10,Thomas,Doris,1932
11,Edward,Ruth,1932
12,David,Joyce,1932
13,Paul,Nancy,1932
14,Kenneth,Virginia,1932
15,Frank,Jean,1932
16,Ronald,Marilyn,1932
17,Jack,Elizabeth,1932
18,Harold,Dolores,1932
19,Raymond,Frances,1932
20,Billy,Lois,1932
1,Robert,Mary,1933
2,James,Betty,1933
3,John,Barbara,1933
4,William,Dorothy,1933
5,Richard,Joan,1933
6,Charles,Patricia,1933
7,Donald,Margaret,1933
8,George,Helen,1933
9,Joseph,Shirley,1933
10,Thomas,Doris,1933
11,Edward,Nancy,1933
12,Ronald,Joyce,1933
13,David,Ruth,1933
14,Paul,Jean,1933
15,Kenneth,Virginia,1933
16,Frank,Marilyn,1933
17,Jack,Elizabeth,1933
18,Harold,Frances,1933
19,Raymond,Lois,1933
20,Billy,Carol,1933
1,Robert,Mary,1934
2,James,Betty,1934
3,John,Barbara,1934
4,William,Shirley,1934
5,Richard,Dorothy,1934
6,Donald,Patricia,1934
7,Charles,Joan,1934
8,George,Margaret,1934
9,Thomas,Helen,1934
10,Joseph,Nancy,1934
11,Ronald,Doris,1934
12,David,Joyce,1934
13,Edward,Ruth,1934
14,Paul,Carol,1934
15,Kenneth,Virginia,1934
16,Frank,Jean,1934
17,Jack,Marilyn,1934
18,Harold,Elizabeth,1934
19,Raymond,Frances,1934
20,Billy,Lois,1934
1,Robert,Mary,1935
2,James,Shirley,1935
3,John,Barbara,1935
4,William,Betty,1935
5,Richard,Patricia,1935
6,Charles,Dorothy,1935
7,Donald,Joan,1935
8,George,Margaret,1935
9,Thomas,Nancy,1935
10,Joseph,Helen,1935
11,David,Carol,1935
12,Ronald,Joyce,1935
13,Edward,Doris,1935
14,Paul,Marilyn,1935
15,Kenneth,Ruth,1935
16,Frank,Virginia,1935
17,Raymond,Elizabeth,1935
18,Jack,Jean,1935
19,Billy,Frances,1935
20,Harold,Beverly,1935
1,Robert,Mary,1936
2,James,Shirley,1936
3,John,Barbara,1936
4,William,Betty,1936
5,Richard,Patricia,1936
6,Charles,Dorothy,1936
7,Donald,Joan,1936
8,Thomas,Nancy,1936
9,George,Margaret,1936
10,David,Carol,1936
11,Joseph,Helen,1936
12,Ronald,Joyce,1936
13,Edward,Marilyn,1936
14,Kenneth,Virginia,1936
15,Paul,Doris,1936
16,Frank,Ruth,1936
17,Raymond,Beverly,1936
18,Jerry,Elizabeth,1936
19,Gerald,Frances,1936
20,Jack,Jean,1936
1,Robert,Mary,1937
2,James,Barbara,1937
3,John,Patricia,1937
4,William,Shirley,1937
5,Richard,Betty,1937
6,Charles,Carol,1937
7,Donald,Nancy,1937
8,David,Dorothy,1937
9,Thomas,Joan,1937
10,George,Margaret,1937
11,Ronald,Joyce,1937
12,Joseph,Helen,1937
13,Edward,Marilyn,1937
14,Kenneth,Beverly,1937
15,Paul,Ruth,1937
16,Larry,Virginia,1937
17,Jerry,Elizabeth,1937
18,Frank,Janet,1937
19,Raymond,Frances,1937
20,Gerald,Carolyn,1937
1,Robert,Mary,1938
2,James,Barbara,1938
3,John,Patricia,1938
4,William,Betty,1938
5,Richard,Shirley,1938
6,Charles,Carol,1938
7,Donald,Nancy,1938
8,David,Dorothy,1938
9,Thomas,Margaret,1938
10,Ronald,Joan,1938
11,George,Joyce,1938
12,Joseph,Judith,1938
13,Edward,Helen,1938
14,Kenneth,Sandra,1938
15,Paul,Carolyn,1938
16,Larry,Janet,1938
17,Jerry,Elizabeth,1938
18,Frank,Beverly,1938
19,Gerald,Marilyn,1938
20,Raymond,Donna,1938
1,Robert,Mary,1939
2,James,Barbara,1939
3,John,Patricia,1939
4,William,Betty,1939
5,Richard,Shirley,1939
6,Charles,Carol,1939
7,David,Nancy,1939
8,Donald,Judith,1939
9,Thomas,Dorothy,1939
10,Ronald,Margaret,1939
11,George,Joan,1939
12,Joseph,Joyce,1939
13,Kenneth,Sandra,1939
14,Larry,Carolyn,1939
15,Edward,Linda,1939
16,Jerry,Helen,1939
17,Paul,Janet,1939
18,Michael,Elizabeth,1939
19,Gerald,Marilyn,1939
20,Frank,Donna,1939
1,James,Mary,1940
2,Robert,Barbara,1940
3,John,Patricia,1940
4,William,Judith,1940
5,Richard,Betty,1940
6,Charles,Carol,1940
7,David,Nancy,1940
8,Thomas,Linda,1940
9,Donald,Shirley,1940
10,Ronald,Sandra,1940
11,George,Margaret,1940
12,Joseph,Dorothy,1940
13,Larry,Joyce,1940
14,Jerry,Joan,1940
15,Kenneth,Carolyn,1940
16,Edward,Judy,1940
17,Paul,Sharon,1940
18,Michael,Helen,1940
19,Gary,Janet,1940
20,Frank,Elizabeth,1940
1,James,Mary,1941
2,Robert,Barbara,1941
3,John,Patricia,1941
4,William,Carol,1941
5,Richard,Linda,1941
6,Charles,Judith,1941
7,David,Betty,1941
8,Thomas,Nancy,1941
9,Ronald,Sandra,1941
10,Donald,Shirley,1941
11,Larry,Carolyn,1941
12,Joseph,Margaret,1941
13,George,Joyce,1941
14,Jerry,Dorothy,1941
15,Kenneth,Sharon,1941
16,Michael,Judy,1941
17,Edward,Joan,1941
18,Paul,Janet,1941
19,Gary,Karen,1941
20,Gerald,Donna,1941
1,James,Mary,1942
2,Robert,Barbara,1942
3,John,Patricia,1942
4,William,Linda,1942
5,Richard,Carol,1942
6,David,Sandra,1942
7,Charles,Judith,1942
8,Thomas,Nancy,1942
9,Ronald,Betty,1942
10,Donald,Carolyn,1942
11,Joseph,Sharon,1942
12,Larry,Shirley,1942
13,Michael,Joyce,1942
14,George,Margaret,1942
15,Kenneth,Judy,1942
16,Jerry,Karen,1942
17,Edward,Dorothy,1942
18,Gary,Joan,1942
19,Paul,Janet,1942
20,Dennis,Donna,1942
1,James,Mary,1943
2,Robert,Barbara,1943
3,John,Patricia,1943
4,William,Linda,1943
5,Richard,Carol,1943
6,David,Sandra,1943
7,Charles,Judith,1943
8,Thomas,Sharon,1943
9,Ronald,Nancy,1943
10,Michael,Betty,1943
11,Donald,Carolyn,1943
12,Larry,Shirley,1943
13,Joseph,Judy,1943
14,George,Margaret,1943
15,Kenneth,Karen,1943
16,Gary,Joyce,1943
17,Jerry,Donna,1943
18,Edward,Susan,1943
19,Paul,Dorothy,1943
20,Dennis,Janet,1943
1,James,Mary,1944
2,Robert,Barbara,1944
3,John,Linda,1944
4,William,Patricia,1944
5,Richard,Carol,1944
6,David,Sandra,1944
7,Charles,Nancy,1944
8,Thomas,Sharon,1944
9,Michael,Judith,1944
10,Ronald,Betty,1944
11,Donald,Carolyn,1944
12,Larry,Judy,1944
13,Joseph,Susan,1944
14,George,Margaret,1944
15,Gary,Shirley,1944
16,Kenneth,Karen,1944
17,Paul,Donna,1944
18,Edward,Joyce,1944
19,Jerry,Dorothy,1944
20,Dennis,Kathleen,1944
1,James,Mary,1945
2,Robert,Linda,1945
3,John,Barbara,1945
4,William,Patricia,1945
5,Richard,Carol,1945
6,David,Sandra,1945
7,Charles,Nancy,1945
8,Thomas,Sharon,1945
9,Michael,Judith,1945
10,Ronald,Susan,1945
11,Larry,Betty,1945
12,Donald,Carolyn,1945
13,Gary,Judy,1945
14,Joseph,Shirley,1945
15,George,Margaret,1945
16,Kenneth,Karen,1945
17,Paul,Donna,1945
18,Edward,Joyce,1945
19,Dennis,Kathleen,1945
20,Jerry,Dorothy,1945
1,James,Mary,1946
2,Robert,Linda,1946
3,John,Patricia,1946
4,William,Barbara,1946
5,Richard,Carol,1946
6,David,Sandra,1946
7,Michael,Nancy,1946
8,Thomas,Susan,1946
9,Charles,Sharon,1946
10,Ronald,Judith,1946
11,Larry,Judy,1946
12,Gary,Carolyn,1946
13,Donald,Donna,1946
14,Joseph,Betty,1946
15,Kenneth,Karen,1946
16,George,Kathleen,1946
17,Dennis,Margaret,1946
18,Paul,Shirley,1946
19,Edward,Diane,1946
20,Jerry,Joyce,1946
1,James,Linda,1947
2,Robert,Mary,1947
3,John,Patricia,1947
4,William,Barbara,1947
5,Richard,Sandra,1947
6,David,Carol,1947
7,Michael,Nancy,1947
8,Thomas,Susan,1947
9,Charles,Sharon,1947
10,Larry,Donna,1947
11,Ronald,Kathleen,1947
12,Gary,Judith,1947
13,Donald,Karen,1947
14,Joseph,Judy,1947
15,Kenneth,Carolyn,1947
16,George,Margaret,1947
17,Dennis,Betty,1947
18,Paul,Diane,1947
19,Edward,Shirley,1947
20,Jerry,Joyce,1947
1,James,Linda,1948
2,Robert,Mary,1948
3,John,Barbara,1948
4,William,Patricia,1948
5,David,Susan,1948
6,Michael,Sandra,1948
7,Richard,Nancy,1948
8,Thomas,Carol,1948
9,Charles,Sharon,1948
10,Ronald,Kathleen,1948
11,Larry,Donna,1948
12,Gary,Karen,1948
13,Joseph,Margaret,1948
14,Donald,Carolyn,1948
15,Kenneth,Judith,1948
16,George,Judy,1948
17,Dennis,Brenda,1948
18,Paul,Betty,1948
19,Edward,Diane,1948
20,Stephen,Shirley,1948
1,James,Linda,1949
2,Robert,Mary,1949
3,John,Patricia,1949
4,William,Barbara,1949
5,Michael,Susan,1949
6,David,Sandra,1949
7,Richard,Nancy,1949
8,Thomas,Carol,1949
9,Charles,Kathleen,1949
10,Larry,Sharon,1949
11,Ronald,Karen,1949
12,Gary,Donna,1949
13,Donald,Brenda,1949
14,Joseph,Margaret,1949
15,Kenneth,Deborah,1949
16,Dennis,Judith,1949
17,Paul,Carolyn,1949
18,George,Shirley,1949
19,Stephen,Diane,1949
20,Steven,Judy,1949
1,James,Linda,1950
2,Robert,Mary,1950
3,John,Patricia,1950
4,Michael,Barbara,1950
5,David,Susan,1950
6,William,Nancy,1950
7,Richard,Deborah,1950
8,Thomas,Sandra,1950
9,Charles,Carol,1950
10,Gary,Kathleen,1950
11,Larry,Sharon,1950
12,Ronald,Karen,1950
13,Joseph,Donna,1950
14,Donald,Brenda,1950
15,Kenneth,Margaret,1950
16,Steven,Diane,1950
17,Dennis,Pamela,1950
18,Paul,Janet,1950
19,Stephen,Shirley,1950
20,George,Carolyn,1950
1,James,Linda,1951
2,Robert,Mary,1951
3,John,Patricia,1951
4,Michael,Deborah,1951
5,David,Barbara,1951
6,William,Susan,1951
7,Richard,Nancy,1951
8,Thomas,Karen,1951
9,Charles,Sandra,1951
10,Gary,Kathleen,1951
11,Larry,Carol,1951
12,Ronald,Donna,1951
13,Steven,Sharon,1951
14,Joseph,Brenda,1951
15,Donald,Diane,1951
16,Kenneth,Pamela,1951
17,Dennis,Margaret,1951
18,Paul,Debra,1951
19,Stephen,Janet,1951
20,Mark,Cynthia,1951
1,James,Linda,1952
2,Robert,Mary,1952
3,John,Patricia,1952
4,Michael,Deborah,1952
5,David,Susan,1952
6,William,Barbara,1952
7,Richard,Nancy,1952
8,Thomas,Karen,1952
9,Charles,Debra,1952
10,Gary,Sandra,1952
11,Steven,Kathleen,1952
12,Joseph,Carol,1952
13,Donald,Donna,1952
14,Larry,Sharon,1952
15,Ronald,Brenda,1952
16,Kenneth,Diane,1952
17,Mark,Pamela,1952
18,Dennis,Cynthia,1952
19,Paul,Janet,1952
20,Daniel,Christine,1952
1,Robert,Mary,1953
2,James,Linda,1953
3,Michael,Deborah,1953
4,John,Patricia,1953
5,David,Susan,1953
6,William,Barbara,1953
7,Richard,Debra,1953
8,Thomas,Nancy,1953
9,Charles,Karen,1953
10,Gary,Pamela,1953
11,Steven,Sandra,1953
12,Mark,Cynthia,1953
13,Joseph,Donna,1953
14,Donald,Kathleen,1953
15,Ronald,Sharon,1953
16,Kenneth,Carol,1953
17,Paul,Diane,1953
18,Larry,Brenda,1953
19,Dennis,Janet,1953
20,Daniel,Margaret,1953
1,Michael,Mary,1954
2,Robert,Linda,1954
3,James,Deborah,1954
4,John,Patricia,1954
5,David,Susan,1954
6,William,Debra,1954
7,Richard,Barbara,1954
8,Thomas,Karen,1954
9,Gary,Nancy,1954
10,Charles,Cynthia,1954
11,Steven,Donna,1954
12,Mark,Pamela,1954
13,Joseph,Sandra,1954
14,Donald,Kathleen,1954
15,Ronald,Carol,1954
16,Paul,Sharon,1954
17,Kenneth,Diane,1954
18,Daniel,Brenda,1954
19,Larry,Janet,1954
20,Stephen,Elizabeth,1954
1,Michael,Mary,1955
2,David,Deborah,1955
3,James,Linda,1955
4,Robert,Debra,1955
5,John,Susan,1955
6,William,Patricia,1955
7,Richard,Barbara,1955
8,Thomas,Karen,1955
9,Mark,Nancy,1955
10,Steven,Donna,1955
11,Charles,Cynthia,1955
12,Gary,Pamela,1955
13,Joseph,Sandra,1955
14,Donald,Diane,1955
15,Kenneth,Carol,1955
16,Paul,Sharon,1955
17,Daniel,Kathleen,1955
18,Ronald,Brenda,1955
19,Larry,Cheryl,1955
20,Jeffrey,Janet,1955
1,Michael,Mary,1956
2,James,Debra,1956
3,Robert,Linda,1956
4,David,Deborah,1956
5,John,Susan,1956
6,William,Patricia,1956
7,Richard,Karen,1956
8,Mark,Cynthia,1956
9,Thomas,Barbara,1956
10,Steven,Donna,1956
11,Charles,Nancy,1956
12,Joseph,Pamela,1956
13,Gary,Sharon,1956
14,Donald,Sandra,1956
15,Ronald,Diane,1956
16,Kenneth,Carol,1956
17,Paul,Kathleen,1956
18,Daniel,Cheryl,1956
19,Timothy,Brenda,1956
20,Jeffrey,Kathy,1956
1,Michael,Mary,1957
2,James,Susan,1957
3,David,Linda,1957
4,Robert,Debra,1957
5,John,Karen,1957
6,William,Deborah,1957
7,Mark,Cynthia,1957
8,Richard,Patricia,1957
9,Thomas,Barbara,1957
10,Steven,Donna,1957
11,Charles,Nancy,1957
12,Joseph,Pamela,1957
13,Gary,Brenda,1957
14,Kenneth,Sharon,1957
15,Donald,Sandra,1957
16,Daniel,Cheryl,1957
17,Ronald,Diane,1957
18,Paul,Carol,1957
19,Timothy,Cindy,1957
20,Kevin,Kathy,1957
1,Michael,Mary,1958
2,David,Susan,1958
3,James,Linda,1958
4,Robert,Karen,1958
5,John,Patricia,1958
6,William,Debra,1958
7,Mark,Deborah,1958
8,Richard,Cynthia,1958
9,Thomas,Barbara,1958
10,Steven,Donna,1958
11,Charles,Pamela,1958
12,Joseph,Nancy,1958
13,Timothy,Cheryl,1958
14,Kenneth,Kathy,1958
15,Paul,Sandra,1958
16,Daniel,Brenda,1958
17,Gary,Sharon,1958
18,Donald,Diane,1958
19,Ronald,Lisa,1958
20,Kevin,Carol,1958
1,Michael,Mary,1959
2,David,Susan,1959
3,James,Linda,1959
4,John,Karen,1959
5,Robert,Donna,1959
6,Mark,Patricia,1959
7,William,Debra,1959
8,Richard,Cynthia,1959
9,Thomas,Deborah,1959
10,Steven,Lisa,1959
11,Charles,Barbara,1959
12,Timothy,Pamela,1959
13,Joseph,Sandra,1959
14,Kevin,Nancy,1959
15,Kenneth,Kathy,1959
16,Jeffrey,Brenda,1959
17,Paul,Sharon,1959
18,Daniel,Cheryl,1959
19,Donald,Diane,1959
20,Gary,Debbie,1959
1,David,Mary,1960
2,Michael,Susan,1960
3,James,Linda,1960
4,John,Karen,1960
5,Robert,Donna,1960
6,Mark,Lisa,1960
7,William,Patricia,1960
8,Richard,Debra,1960
9,Thomas,Cynthia,1960
10,Steven,Deborah,1960
11,Timothy,Sandra,1960
12,Joseph,Barbara,1960
13,Charles,Brenda,1960
14,Jeffrey,Pamela,1960
15,Kevin,Nancy,1960
16,Kenneth,Sharon,1960
17,Daniel,Cheryl,1960
18,Paul,Elizabeth,1960
19,Donald,Teresa,1960
20,Brian,Lori,1960
1,Michael,Mary,1961
2,David,Lisa,1961
3,John,Susan,1961
4,James,Linda,1961
5,Robert,Karen,1961
6,Mark,Patricia,1961
7,William,Donna,1961
8,Richard,Cynthia,1961
9,Thomas,Sandra,1961
10,Steven,Deborah,1961
11,Jeffrey,Brenda,1961
12,Joseph,Barbara,1961
13,Charles,Debra,1961
14,Kevin,Lori,1961
15,Timothy,Pamela,1961
16,Kenneth,Nancy,1961
17,Daniel,Sharon,1961
18,Paul,Teresa,1961
19,Scott,Elizabeth,1961
20,Brian,Cheryl,1961
1,Michael,Lisa,1962
2,David,Mary,1962
3,John,Susan,1962
4,James,Karen,1962
5,Robert,Linda,1962
6,Mark,Patricia,1962
7,William,Donna,1962
8,Richard,Cynthia,1962
9,Thomas,Deborah,1962
10,Jeffrey,Sandra,1962
11,Scott,Lori,1962
12,Steven,Brenda,1962
13,Joseph,Pamela,1962
14,Kevin,Barbara,1962
15,Charles,Debra,1962
16,Timothy,Kimberly,1962
17,Daniel,Sharon,1962
18,Kenneth,Teresa,1962
19,Paul,Nancy,1962
20,Brian,Elizabeth,1962
1,Michael,Lisa,1963
2,John,Mary,1963
3,David,Susan,1963
4,James,Karen,1963
5,Robert,Linda,1963
6,Mark,Donna,1963
7,William,Patricia,1963
8,Richard,Lori,1963
9,Thomas,Sandra,1963
10,Jeffrey,Cynthia,1963
11,Kevin,Kimberly,1963
12,Scott,Tammy,1963
13,Joseph,Deborah,1963
14,Steven,Pamela,1963
15,Timothy,Brenda,1963
16,Charles,Laura,1963
17,Paul,Barbara,1963
18,Kenneth,Teresa,1963
19,Daniel,Sharon,1963
20,Brian,Elizabeth,1963
1,Michael,Lisa,1964
2,John,Mary,1964
3,David,Susan,1964
4,James,Karen,1964
5,Robert,Patricia,1964
6,Mark,Kimberly,1964
7,William,Donna,1964
8,Richard,Linda,1964
9,Thomas,Cynthia,1964
10,Jeffrey,Tammy,1964
11,Joseph,Pamela,1964
12,Steven,Deborah,1964
13,Kevin,Sandra,1964
14,Scott,Laura,1964
15,Timothy,Lori,1964
16,Paul,Elizabeth,1964
17,Charles,Julie,1964
18,Kenneth,Brenda,1964
19,Daniel,Barbara,1964
20,Brian,Sharon,1964
1,Michael,Lisa,1965
2,John,Mary,1965
3,David,Karen,1965
4,James,Kimberly,1965
5,Robert,Susan,1965
6,William,Patricia,1965
7,Mark,Donna,1965
8,Richard,Linda,1965
9,Thomas,Cynthia,1965
10,Jeffrey,Angela,1965
11,Joseph,Tammy,1965
12,Timothy,Pamela,1965
13,Kevin,Deborah,1965
14,Steven,Julie,1965
15,Scott,Sandra,1965
16,Paul,Elizabeth,1965
17,Daniel,Laura,1965
18,Christopher,Michelle,1965
19,Brian,Lori,1965
20,Charles,Jennifer,1965
1,Michael,Lisa,1966
2,David,Kimberly,1966
3,James,Mary,1966
4,John,Michelle,1966
5,Robert,Karen,1966
6,William,Susan,1966
7,Mark,Patricia,1966
8,Richard,Tammy,1966
9,Jeffrey,Angela,1966
10,Thomas,Jennifer,1966
11,Timothy,Cynthia,1966
12,Christopher,Donna,1966
13,Steven,Julie,1966
14,Brian,Deborah,1966
15,Joseph,Pamela,1966
16,Scott,Elizabeth,1966
17,Kevin,Sandra,1966
18,Paul,Linda,1966
19,Daniel,Laura,1966
20,Charles,Christine,1966
1,Michael,Lisa,1967
2,David,Kimberly,1967
3,James,Michelle,1967
4,John,Mary,1967
5,Robert,Susan,1967
6,William,Karen,1967
7,Mark,Angela,1967
8,Richard,Tammy,1967
9,Christopher,Melissa,1967
10,Brian,Jennifer,1967
11,Timothy,Patricia,1967
12,Thomas,Amy,1967
13,Jeffrey,Elizabeth,1967
14,Steven,Christine,1967
15,Joseph,Laura,1967
16,Scott,Julie,1967
17,Kevin,Pamela,1967
18,Paul,Cynthia,1967
19,Daniel,Donna,1967
20,Charles,Sandra,1967
1,Michael,Lisa,1968
2,David,Michelle,1968
3,John,Kimberly,1968
4,James,Jennifer,1968
5,Robert,Melissa,1968
6,William,Mary,1968
7,Mark,Angela,1968
8,Richard,Tammy,1968
9,Christopher,Karen,1968
10,Brian,Susan,1968
11,Jeffrey,Laura,1968
12,Thomas,Kelly,1968
13,Timothy,Amy,1968
14,Scott,Christine,1968
15,Steven,Patricia,1968
16,Joseph,Julie,1968
17,Kevin,Elizabeth,1968
18,Daniel,Tina,1968
19,Paul,Cynthia,1968
20,Charles,Pamela,1968
1,Michael,Lisa,1969
2,David,Michelle,1969
3,James,Jennifer,1969
4,John,Kimberly,1969
5,Robert,Melissa,1969
6,William,Amy,1969
7,Christopher,Angela,1969
8,Mark,Mary,1969
9,Brian,Tammy,1969
10,Richard,Laura,1969
11,Jeffrey,Susan,1969
12,Scott,Julie,1969
13,Thomas,Karen,1969
14,Steven,Christine,1969
15,Joseph,Kelly,1969
16,Kevin,Elizabeth,1969
17,Timothy,Tracy,1969
18,Daniel,Patricia,1969
19,Charles,Stephanie,1969
20,Anthony,Lori,1969
1,Michael,Jennifer,1970
2,David,Lisa,1970
3,James,Kimberly,1970
4,John,Michelle,1970
5,Robert,Amy,1970
6,Christopher,Angela,1970
7,William,Melissa,1970
8,Brian,Tammy,1970
9,Mark,Mary,1970
10,Richard,Tracy,1970
11,Jeffrey,Julie,1970
12,Scott,Karen,1970
13,Jason,Laura,1970
14,Kevin,Christine,1970
15,Steven,Susan,1970
16,Joseph,Dawn,1970
17,Thomas,Stephanie,1970
18,Eric,Elizabeth,1970
19,Daniel,Heather,1970
20,Timothy,Kelly,1970
1,Michael,Jennifer,1971
2,James,Michelle,1971
3,David,Lisa,1971
4,John,Kimberly,1971
5,Robert,Amy,1971
6,Christopher,Angela,1971
7,William,Melissa,1971
8,Jason,Tammy,1971
9,Brian,Mary,1971
10,Scott,Julie,1971
11,Richard,Stephanie,1971
12,Jeffrey,Heather,1971
13,Mark,Tracy,1971
14,Kevin,Dawn,1971
15,Joseph,Karen,1971
16,Steven,Laura,1971
17,Thomas,Susan,1971
18,Eric,Christine,1971
19,Matthew,Elizabeth,1971
20,Daniel,Tina,1971
1,Michael,Jennifer,1972
2,Christopher,Michelle,1972
3,James,Lisa,1972
4,David,Kimberly,1972
5,John,Amy,1972
6,Robert,Angela,1972
7,Jason,Melissa,1972
8,Brian,Stephanie,1972
9,William,Heather,1972
10,Matthew,Nicole,1972
11,Scott,Tammy,1972
12,Joseph,Julie,1972
13,Kevin,Mary,1972
14,Richard,Rebecca,1972
15,Daniel,Elizabeth,1972
16,Eric,Christine,1972
17,Jeffrey,Laura,1972
18,Mark,Tina,1972
19,Steven,Tracy,1972
20,Thomas,Dawn,1972
1,Michael,Jennifer,1973
2,Christopher,Amy,1973
3,Jason,Michelle,1973
4,James,Kimberly,1973
5,David,Lisa,1973
6,John,Melissa,1973
7,Robert,Angela,1973
8,Brian,Heather,1973
9,William,Stephanie,1973
10,Matthew,Rebecca,1973
11,Daniel,Nicole,1973
12,Joseph,Julie,1973
13,Eric,Elizabeth,1973
14,Kevin,Mary,1973
15,Mark,Tammy,1973
16,Richard,Christina,1973
17,Jeffrey,Christine,1973
18,Scott,Kelly,1973
19,Thomas,Laura,1973
20,Steven,Tracy,1973
1,Michael,Jennifer,1974
2,Jason,Amy,1974
3,Christopher,Michelle,1974
4,David,Heather,1974
5,James,Angela,1974
6,John,Kimberly,1974
7,Robert,Melissa,1974
8,Brian,Lisa,1974
9,Matthew,Stephanie,1974
10,William,Rebecca,1974
11,Daniel,Nicole,1974
12,Joseph,Elizabeth,1974
13,Eric,Mary,1974
14,Kevin,Julie,1974
15,Jeffrey,Christina,1974
16,Mark,Kelly,1974
17,Richard,Jessica,1974
18,Scott,Shannon,1974
19,Steven,Christine,1974
20,Thomas,Sarah,1974
1,Michael,Jennifer,1975
2,Jason,Amy,1975
3,Christopher,Heather,1975
4,James,Melissa,1975
5,David,Angela,1975
6,Robert,Michelle,1975
7,John,Kimberly,1975
8,Brian,Lisa,1975
9,Matthew,Stephanie,1975
10,William,Nicole,1975
11,Daniel,Rebecca,1975
12,Joseph,Christina,1975
13,Eric,Jessica,1975
14,Jeffrey,Amanda,1975
15,Kevin,Elizabeth,1975
16,Richard,Kelly,1975
17,Scott,Sarah,1975
18,Steven,Julie,1975
19,Mark,Mary,1975
20,Thomas,Laura,1975
1,Michael,Jennifer,1976
2,Jason,Amy,1976
3,Christopher,Melissa,1976
4,David,Heather,1976
5,James,Angela,1976
6,John,Michelle,1976
7,Robert,Kimberly,1976
8,Brian,Jessica,1976
9,Matthew,Lisa,1976
10,Daniel,Amanda,1976
11,William,Stephanie,1976
12,Joseph,Rebecca,1976
13,Eric,Nicole,1976
14,Jeremy,Christina,1976
15,Kevin,Sarah,1976
16,Ryan,Elizabeth,1976
17,Jeffrey,Shannon,1976
18,Joshua,Jamie,1976
19,Richard,Kelly,1976
20,Steven,Laura,1976
1,Michael,Jennifer,1977
2,Jason,Melissa,1977
3,Christopher,Amy,1977
4,David,Jessica,1977
5,James,Heather,1977
6,John,Angela,1977
7,Robert,Michelle,1977
8,Brian,Kimberly,1977
9,Matthew,Amanda,1977
10,Joseph,Kelly,1977
11,Daniel,Sarah,1977
12,William,Lisa,1977
13,Kevin,Elizabeth,1977
14,Joshua,Stephanie,1977
15,Jeremy,Nicole,1977
16,Ryan,Christina,1977
17,Eric,Rebecca,1977
18,Timothy,Jamie,1977
19,Jeffrey,Shannon,1977
20,Richard,Laura,1977
1,Michael,Jennifer,1978
2,Jason,Melissa,1978
3,Christopher,Jessica,1978
4,David,Amy,1978
5,James,Heather,1978
6,Matthew,Amanda,1978
7,John,Angela,1978
8,Robert,Sarah,1978
9,Brian,Michelle,1978
10,Joseph,Nicole,1978
11,Daniel,Lisa,1978
12,Joshua,Kelly,1978
13,William,Kimberly,1978
14,Ryan,Elizabeth,1978
15,Kevin,Christina,1978
16,Eric,Stephanie,1978
17,Timothy,Rebecca,1978
18,Jeremy,Crystal,1978
19,Jeffrey,Laura,1978
20,Anthony,Jamie,1978
1,Michael,Jennifer,1979
2,Christopher,Melissa,1979
3,Jason,Amanda,1979
4,David,Jessica,1979
5,James,Amy,1979
6,Matthew,Sarah,1979
7,John,Heather,1979
8,Robert,Angela,1979
9,Joshua,Nicole,1979
10,Brian,Michelle,1979
11,Joseph,Elizabeth,1979
12,Daniel,Kimberly,1979
13,William,Lisa,1979
14,Ryan,Christina,1979
15,Nicholas,Stephanie,1979
16,Jeremy,Kelly,1979
17,Eric,Rebecca,1979
18,Timothy,Crystal,1979
19,Kevin,Jamie,1979
20,Andrew,Laura,1979
1,Michael,Jennifer,1980
2,Christopher,Amanda,1980
3,Jason,Jessica,1980
4,David,Melissa,1980
5,James,Sarah,1980
6,Matthew,Heather,1980
7,Joshua,Nicole,1980
8,John,Amy,1980
9,Robert,Elizabeth,1980
10,Joseph,Michelle,1980
11,Daniel,Kimberly,1980
12,Brian,Angela,1980
13,Justin,Stephanie,1980
14,William,Tiffany,1980
15,Ryan,Christina,1980
16,Eric,Lisa,1980
17,Nicholas,Rebecca,1980
18,Jeremy,Crystal,1980
19,Andrew,Kelly,1980
20,Timothy,Erin,1980
1,Michael,Jennifer,1981
2,Christopher,Jessica,1981
3,Matthew,Amanda,1981
4,Jason,Sarah,1981
5,David,Melissa,1981
6,Joshua,Amy,1981
7,James,Nicole,1981
8,John,Stephanie,1981
9,Robert,Elizabeth,1981
10,Daniel,Heather,1981
11,Joseph,Michelle,1981
12,Justin,Rebecca,1981
13,Ryan,Kimberly,1981
14,Brian,Tiffany,1981
15,William,Angela,1981
16,Jonathan,Crystal,1981
17,Eric,Christina,1981
18,Andrew,Lisa,1981
19,Brandon,Erin,1981
20,Adam,Amber,1981
1,Michael,Jennifer,1982
2,Christopher,Jessica,1982
3,Matthew,Amanda,1982
4,Jason,Sarah,1982
5,David,Melissa,1982
6,James,Nicole,1982
7,Joshua,Stephanie,1982
8,John,Elizabeth,1982
9,Robert,Crystal,1982
10,Daniel,Amy,1982
11,Joseph,Michelle,1982
12,Justin,Heather,1982
13,Ryan,Tiffany,1982
14,Brian,Kimberly,1982
15,William,Rebecca,1982
16,Jonathan,Angela,1982
